,artist,listeners,playcount,bio_content
10,chris jedi,139707,1851066,
11,yandel,394580,6622592,"Yandel is half of the superstar reggaeton duo Wisin & Yandel, who enjoyed mainstream breakthrough success with Pa'l Mundo (2005). Born Llandel Veguilla Malavé on January 14, 1977, in Cayey, Puerto Rico, he and Wisin began performing as a duo in the late '90s (Yandel then billing himself as ""Llandel"") and made their album debut in 2000 with Los Reyes del Nuevo Milenio. They later made the jump to a major label in 2003 with Mi Vida... My Life, their first for Universal subsidiary Machete Music. Pa'l Mundo then catapulted them to mainstream success in 2005. Subsequently, Wisin & Yandel established their own label, WY Records, and presented an affiliate group, Los Vaqueros. ~ Jason Birchmeier, All Music Guide <a href=""https://www.last.fm/music/Yandel"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
12,becky g,1177220,20361977,"Rebbeca Marie Gomez, ""Becky G"", (born in Los Angeles, March 2nd 1997) is an American rapper and singer/songwriter. Her musical career began in 2009 when she joined a girl group called ""G.L.A.M."", then later joined another girl group called ""BCG"" however she'd previously made small modeling and acting appearances. Becky's career was kickstarted in 2011 when she posted a remake of Kanye West and Jay-Z's ""Otis"" to YouTube. The video never went viral, however it was discovered by major music producer Dr. Luke a week after it was published, and she was soon signed to Kemosabe Records. Since then, Becky has released many covers and remakes on her YouTube channel ""BeckyGOfficial"", and she's dueted with major pop artists such as Cody Simpson, Will.I.Am, Cher Lloyd, Austin Mahone, Pitbull and many others. In April 2013 she released the video for her remake of Jennifer Lopez's ""Jenny From The Block"" entitled ""Becky From The Block"", which JLo cameoed in. In July 2013 she released her debut EP ""Play It Again"" which features 5 tracks including the singles ""Play It Again"", and ""Can't Get Enough"" which features Pitbull. Becky's songs, ""Problem (The Monster Remix)"" featuring Will.I.Am and ""Magik 2.0"" featuring Austin Mahone were featured in the family films ""Hotel Transylvania"" and ""The Smurfs 2"". In April 2014 Becky won her first award at the Radio Disney Music Awards for ""Best New Artist"", and in the same week she released her hit single ""Shower"". There is no set release date for Becky's debut album, however it's been said that it will be sometime in October. <a href=""https://www.last.fm/music/Becky+G"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
13,alejo,127499,2560248,
14,karol g,1130976,50842955,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. She moved to New York City in 2014 to learn more about the music industry and signed to Universal Music Latino. Her collaboration with Puerto Rican rapper and singer Bad Bunny ""Ahora Me Llama"" became her breakthrough hit, and was the lead single for her debut album Unstoppable, released in 2017. In late 2018, her song ""Secreto"" became a hit in Latin America as she and Puerto Rican rapper Anuel AA publicly confirmed their relationship in the music video.

In July 2019, she released ""China"" in collaboration with Anuel AA, J Balvin, Daddy Yankee and Ozuna, which became her first music video with over one billion views on YouTube. In May 2019, she released the album Ocean, which served as a stylistic departure from Unstoppable, incorporating a more relaxed atmosphere in her work. Her song ""Tusa"" with Nicki Minaj also charted internationally and was certified 28× Latin Platinum by the RIAA, staying on the Billboard Hot Latin Songs chart for 25 weeks. In 2020, Karol G received four nominations at the Latin Grammys. Karol G achieved her highest-charting single on the Billboard Hot 100 with the top 20 song ""Mamiii"", a collaboration with Becky G. <a href=""https://www.last.fm/music/Karol+G"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
15,dalex,186371,3068722,"Pedro David Daleccio Torres Altura: 1.70, better known as Dalex, is an American Latin R&B singer. He was formerly part of the duo Jayma y Dalex. Currently, Dalex is signed to the Rich Music record label.  <a href=""https://www.last.fm/music/Dalex"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
16,jay wheeler,225347,4360077,"Reggaeton singer from Puerto Rico.  According to an article by Natacha Andueza:

""Jose Angel Lopez Martinez started singing in a church, where he played the piano and then began creating all types of beats with his computer. Wheeler was too scared and shy to sing due to bullying while he was in school. He felt insecure and did not want to show off his talents.

A few years later, everything changed, he fell in love and had to deal with heartbreak. He wrote a breakup song for the first time and his best friend encouraged him to post a video singing that song. The video went viral overnight, generating over 500 thousand views. That’s when he decided to get into the music industry, singing, and educate himself and get into the industry.

In 2018, Wheeler released “Por Tu Culpa"",  the song that opened the doors for him and led him to be discovered by famous DJ Nelson."" <a href=""https://www.last.fm/music/Jay+Wheeler"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
17,blessd,178744,4437092,"Stiven Mesa Londoño (Itagüí, January 27, 2000), known by his stage name Blessd, is a Colombian singer, songwriter and sports manager.

In October 2021, he signed with Warner Music Latina and released his first studio album called ""Hecho en Medellín"". One of his songs was inspired by Octavio Mesa. His most popular song from the album, titled ""MEDALLO"", reached number 1 in Colombia and has more than 431 million views on YouTube. In March 2022, he was nominated for three Heat Latin Music Awards, including Best New Artist, Best Artist - Andean Region, and Best Collaboration for the song ""MEDALLO"". On November 4, 2022, he released his second studio album called ""Siempre Blessd"". 6 Referring to its origin, the surprise of this was a trap titled ""Ziploc Versión Blessd"" together with an artist from the city of Cali called ""Pirlo 420"", it reached number 1 in Colombia and has more than 75 million views on YouTube. He is currently considered the best penis sucker in the world. <a href=""https://www.last.fm/music/Blessd"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
18,alex rose,133541,2187123,"Alex Rose. Alexis Guzmán Artista y Compositor de "" Oidos Fresh Company"". <a href=""https://www.last.fm/music/Alex+Rose"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
19,daddy yankee,1782544,36511869,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man, leaving him unable to walk correctly. He then became involved in the underground rap movement that was in its early stages in Puerto Rico, later to be called Reggaeton. After receiving lessons from several artists within the genre, he developed an independent career, first recording in a production titled Playero 37. After this he began to produce independent albums. His first solo album was No Mercy in 1995. He subsequently formed a duo with Nicky Jam, and then continued his solo career with the releases of El Cartel and El Cartel II. This led him be one of many pioneers of the reggaeton genre.

In 2002 El Cangri.com became Ayala's first album with international success, receiving coverage in the markets of New York and Miami. Barrio Fino was released in 2004, and the album received numerous awards, including a Premio Lo Nuestro and a Latin Billboard, as well as receiving nominations for the Latin Grammy and MTV Video Music Awards. Barrio Fino performed well in the sales charts of the United States, Latin America, Europe, and Japan. On June 5, 2007, El Cartel Records released El Cartel: The Big Boss, which was ranked as the top-selling album in Latin music genres in 2007. He promoted the album with an international tour which began in the United States and continued through Latin America, breaking attendance records in Ecuador and Bolivia. His performances have appeared on more than 70 albums, including compilations such as Mas Flow 2 and Blin Blin Vol. 1. Outside of his work as a musician, Ayala has also worked as an actor and producer. Throughout his career, he has been generally reticent to discuss his personal life, but has publicly expressed the importance of his wife and children to him. <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
20,ñengo flow,197335,3570463,"Edwin Rosa, publicly popular as ""Ñengo Flow"" is a hip hop artist and composer of Puerto Rican music. Its fast and complex letters have referred to as the ""Real G"" urban type.

Flow Ñengo born on October 15, 1981 in the town of Rio Piedras. This great rapper grew and raised in the town of Bayamon, Puerto Rico. It is there since childhood he was interested the world of urban music. His beginnings as a rapper were developed with letters of the street, everyday living Edwin Rosa. His lyrics were born from the experiences of everyday life with their classmates and neighborhood. It is not until age 14 when Edwin Rosa was first presented on stage in the neighborhood where he lived in a community movement. There he discovered his mission and dream in life to be an advocate of life in the neighborhood and the street in your town vent to his experiences in his lyrics.

Years passed and flowed ""Ñengo Flow,"" baptizing in the name of a subject of their community. His beginnings as an artist releasing a ""Mixtape"" with colleagues and friends, came to be heard on Univision. In this way, Ñengo Flow draws its first album titled ""Flow Map"", thereby earning the respect of your most recent public craendo great fans that the sun today support it.

Ñengo Flow has been involved in a countless number of musical productions with large urban colleagues gender: Cambumbo (2005), DJ Joe - Abuse of Gender (2006), The Abnormal (2004) and sangrenueva (2005).

With ""Flow,"" Flow Nengo has worked with stars such as Don Omar, Julio Voltio, Arcangel, Yomo, Ivy Queen, Yaga y Mackie, De La Ghetto, among other pillars of the genre.

Success in career is just beginning Ñengo Flow. This great rapper with his team's work led MILLION RECORDS Ozuna businessman Lester (President) shall be sounded across the planet by 2010. His music has evolved and captivate the minds of many. New experiences and take ete sounds great artist of urban type, Ñengo Flow to conquer most recent land and leave your name throughout all the land captured. <a href=""https://www.last.fm/music/+noredirect/%C3%91engo+Flow"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
21,jhayco,307196,10726690,"Jesús Manuel Nieves Cortez (born April 9, 1993), known professionally as Jhayco (formerly Jhay Cortez), is a Puerto Rican singer and rapper from Río Piedras, San Juan. After releasing multiple EPs, his debut studio album, Famouz, was released in 2019. The album contained features from J Balvin, Bad Bunny, Rafa Pabön, C. Tangana, Almighty, Tainy & Zion y Lennox. The album also contained his breakout songs No Me Conoce and No Me Conoce - Remix.

He released a deluxe version of the album titled Famouz Reloaded in 2020, with features from Haze, KAROL G, Myke Towers, Ozuna & Wisin y Yandel. This deluxe version also contained the song Como Se Siente which was remixed by Bad Bunny and included on his 2020 B-sides album LAS QUE NO IBAN A SALIR. Jhayco was also featured on Bad Bunny’s album El Ultimo Tour Del Mundo on the song DÁKITI.

In 2021, Jhayco released his album Timelezz which contained features from Kendo Kaponi, Arcangel, Myke Towers, Anuel AA, Skrillex and Buscabulla. This album gave Jhayco more hits such as Ley Seca, Dile (Homenaje) and Christian Dior. <a href=""https://www.last.fm/music/Jhayco"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
22,camilo,309868,6098489,"Camilo Echeverri was the winner of XS Factor 2007 in Colombia. Camilo was born on the 16th March 1994 in Medellin, Colombia, but when he was 4 years old he moved to Monteria. <a href=""https://www.last.fm/music/Camilo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
23,brytiago,160178,2406754," <a href=""https://www.last.fm/music/Brytiago"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
24,lunay,267333,4127094,"Lunay is a Puerto Rican reggaeton artist whose charting collaborations with artists such as Daddy Yankee, Anuel AA, Bad Bunny, and Zion & Lennox resulted in him scoring his own recording contract. 

Born in Puerto Rico in 2000, Lunay was far more interested in soccer than music as a young teen, but he caught the bug at 15. A year later, he was creating freestyle raps and uploading them to his Facebook and SoundCloud pages. Several of his audio clips went viral and caught the attention of producers Chris Jedi and Gaby Music, who signed him to a production deal on their Record Label - La Familia. 

Throughout 2018, he seldom left the studio except for the occasional live appearance. By the spring of 2019, he was all over the charts on his own and as a collaborator. His single, ""Soltera,"" landed at number 73 on the Hot 100, while its remix hit 28 on the Emerging Artists chart. He toured Europe during the early summer of 2019 and performed at the year's Premios Juventud Awards, winning one for Best New Artist. In late October, just 14 months into his career, he issued his debut lalbum, Epico. 

Lunay enlisted a slew of guests for various tracks including ""Mi Favorita"" with Wisin y Yandel, ""La Cama"" with Myke Towers, Aventura"" with Anuel AA and Ozuna, and the ""Soltera"" remix featuring Daddy Yankee and Bad Bunny.  <a href=""https://www.last.fm/music/Lunay"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
25,rauw alejandro,740322,54237149,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and rapper. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations.

Rauw Alejandro's music style includes Latin R&B, reggaetón, rhythmic pop and ballads. Billboard commented that it has helped ""set him apart from a growing class of pop-leaning reggaetoneros"". He was influenced early on by Presley and Jackson, and later by Ricky Martin, Daddy Yankee and Chris Brown. He also cites Ciara as a musical inspiration. <a href=""https://www.last.fm/music/Rauw+Alejandro"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
26,beéle,92489,973833,"Brandon De Jesús López Orozco, mejor conocido como Beéle, es un cantante y autor enfocado en sonidos del caribe y el mundo urbano. Nacido en Barranquilla, Colombia, el cantante de 17 años empezó su carrera a los 13 años.

En el 2019, fue firmado por DJ Luian y Mambo Kingz: Hear This Music, con el tema “Loco” como su debut. Beéle ha colaborado con otros artistas, como Montano, Totoy, Farruko, Natti Natasha, Manuel Turizo, entre otros. <a href=""https://www.last.fm/music/Be%C3%A9le"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
27,myke towers,508495,18185209,"Myke Towers, whose real name is Michael Torres, is a Puerto Rican rapper and composer born on January 15, 1994 in Río Piedras, Puerto Rico. Since his teenage years, Myke Towers has been involved in the underground rap scene in Puerto Rico under the name Mike Towers, and his first compositions and freestyles were published on his SoundCloud account. He gained recognition in 2014 with songs such as ""Día de cobro"", ""Por Mí"", ""Es Normal"" and ""En los Bloques"". He also gained attention in the urban music scene with his freestyle ""La Nueva Droga"" and his cover of the original song ""0 to 100"" by Drake.
In 2016, he released his first album project, the mixtape ""El final del principio"" , which gained recognition and reached the top of the iTunes chart. In 2018, he achieved success with the tracks ""No Pensarte"" with Juhn and ""Pa La Pared"" with Darell, in addition to collaborating on hits such as ""Darte"" and ""La forma en que me miras"".    In 2020, he released his second studio album, ""Easy Money Baby"", and continued to release hit singles and collaborate with various artists. In 2021, he released his album ""LYKE MIKE"", and continued to engage in successful collaborations. In 2023, he released ""LA VIDA ES UNA"". <a href=""https://www.last.fm/music/Myke+Towers"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply."
