track_name,artist_name,release_date,id_track,popularity,genero
Te debo una canción,Shinova,2020-09-18,3OZ0BqpkRr5NiZSDzlLLV1,39,indie
anything,Adrianne Lenker,2020-10-23,4PwWESSlTwzvw9B7bmtTLS,75,indie
Las Manos,"Ciudad Jara, La Vela Puerca, Colectivo Panamera, ZOO, TéCanela, La Raíz, Road Ramos, Nativa",2020-02-07,2ES9JejkdhQJUX3zN5tXcn,41,indie
Todo Estaba Bien,"Carlos Sadness, Manuel Medrano",2020-06-19,0qRE2t4scDRFsBgBXsQIH9,52,indie
Fiesta,Rigoberta Bandini,2020-04-17,5EoFJ6UJaPlGJlDCIYS4WX,39,indie
ALMA DINAMITA,WOS,2020-05-21,2ONADYjJvqYVwjWavuY0H1,61,indie
Romantic Lover,Eyedress,2020-08-07,7s5VQqrjBtrBgZL4pEa46S,73,indie
"not a lot, just forever",Adrianne Lenker,2020-10-23,11hEwcy9LMEvzAlOYAFhkK,74,indie
Si Se Calla El Cantor (Juntxs por una #CulturaSegura),"Ciudad Jara, Amaral, TéCanela, Luis Pastor, Pedro Pastor, Rupatrupa, María del Tango, Marisa Valle Roso, Rayden, Sara Socas",2020-11-05,6BqT59TsFAWTDppf5WLmOS,41,indie
Remember That Night?,Sara Kays,2020-11-06,1nYzjrdVQ8RpF93M0jPFW7,67,indie
Les Coses Senzilles,Txarango,2020-06-19,0BnwoPXM88SdUwj5WwKvxc,38,indie
Solitude - Felsmann + Tiley Reinterpretation,"M83, Felsmann + Tiley",2020-05-14,6RK3IsiUW6YaSMEodbO4tk,64,indie
Hate Me,"Ellie Goulding, Juice WRLD",2020-07-16,15og0pCEcTFWEXOFKdcJlU,72,indie
Mi Pequeño Chernóbil,Leiva,2020-04-02,4uctPC0cRfw3vOmK2YF4xR,38,indie
I Know The End,Phoebe Bridgers,2020-06-18,0pJW1Xw3aY4Eh6k5iuBkfI,70,indie
Tighten Up,The Black Keys,2020-12-18,3C542UknrX76XSRXTyQ1Qg,59,indie
Levita y Ven,Siloé,2020-02-21,6eePrTRl5ejw5K7Uvjooe4,37,indie
Lost With You,Patrick Watson,2020-10-30,1zqxYmUku2McZZe7tXibAt,63,indie
La Vuelta,La Maravillosa Orquesta del Alcohol,2020-12-11,7EWkIXYB44RQvXhXwaBIVJ,37,indie
Prioridades,Babi,2020-03-26,1vfnJd5N9VRhGWvtNxwtqa,44,indie
Como Si Fueras a Morir Mañana - Madrid Nuclear - En Directo,Leiva,2020-11-20,5LscAfMaxkC3ciH2kUZtOa,36,indie
Break My Heart Again,FINNEAS,2020-08-07,7zw6nQHTwml1mVuQDf5V6k,65,indie
La Espina de la Flor en Tu Costado,Xoel López,2020-11-27,35TLa8asjZNxhQCumY9ISZ,38,indie
It Almost Worked,TV Girl,2020-05-01,4NUhcsz9E1LrBe8nXLZqzp,72,indie
Quiero Casarme Contigo,Arde Bogotá,2020-06-12,1s5FcXcjnYDEC785fcoBQv,36,indie
Paco y Carmela,Ginebras,2020-09-25,1lUbvGgwSLDYWk4zr1uj6h,35,indie
La Estación Eterna,Leiva,2020-05-20,5JFArLc5wo55tcJKFyzpUz,36,indie
Reina (feat. Rozalén),"Miss Caffeina, Rozalén",2020-06-26,2PESl4Qe4oQzcEn2ZVCwc3,35,indie
Take Me Home,Ocie Elliott,2020-12-11,6EWEyqtjFLafS95ncL4not,58,indie
Por Pensar Le Dio al Hombre,Sinkope,2020-03-13,7AbCErU4t6l0Pi7PIsRbY4,35,indie
Who's Ready for Tomorrow,"RAT BOY, IBDY",2020-12-18,4mn5HdatHKN7iFGDes9G8i,63,indie
Alma de Oro,"Xoel López, Ede",2020-11-27,34woUkvnTytq9KTNzQXJpa,35,indie
Cloud 9,Beach Bunny,2020-02-14,3ZgkHyoKfNMcHTXC0X1qQj,69,indie
Pruébame a Ti,Jósean Log,2020-08-14,10rzSpg3kTFSr5e5tFy60A,63,indie
Mundo imperfecto,Sidecars,2020-05-08,7hlytak131AgmPYe8JsYws,34,indie
Antiaéreo,Arde Bogotá,2020-06-12,34oNVPxzQvWsgI2icNwiNJ,34,indie
Born For This,The Score,2020-08-28,7uCBGNn991AM68fR4tSDco,62,indie
Èpoques glorioses,Pau Vallvé,2020-09-18,4Cls2cLCOb3cEcGo0eGCoa,34,indie
Abajo,Arde Bogotá,2020-10-29,054NWSrZKWWQ897zhkjmKD,34,indie
La Buena Sombra,IZAL,2020-04-17,67HWsN2AzmPNiIY8H4ZGYs,34,indie
Agapimú (feat. Ana Belén),"Ojete Calor, Ana Belén",2020-04-08,59iTRaqCVSG6E382GYghBY,34,indie
Only for a Moment,Lola Marsh,2020-01-24,6yagHtrpkDjvAc0gCHm4fm,44,indie
A la Deriva,Txarango,2020-06-19,7ufhRuLkC2hbXcUGEX9Djd,34,indie
Mystery Lady,"Masego, Don Toliver",2020-11-13,0bkTdkWwGk3OGFX0afD3Wj,66,indie
Máster en Imbecil,Niña Polaca,2020-09-25,1BSgJExTqVVb2WkWN13vFH,34,indie
Rät,Penelope Scott,2020-09-25,4blPH3Uy89WnOnYlIv7Ev4,66,indie
Keep Me,Novo Amor,2020-11-06,5xYpEeGFXmkGMBQ22NfKfO,60,indie
Isla Morenita,Carlos Sadness,2020-06-19,3a8eDceX6gB0T8mlcpMvk2,40,indie
Bendita Vida,Txarango,2020-06-19,76fz3PUp4ynnNHsSQwyDVP,34,indie
Es Que Yo Te Quiero A Ti,Kevin Kaarl,2020-11-13,7KvX1d2BMXXLXt3Kuq5atu,64,indie
Me Llamo Abba (with Kimberley Tell),"Sidonie, Kimberley Tell",2020-04-09,04TXNerIjXWQdVXskVIxSr,33,indie
Espacio Vacío,"El Mató a un Policía Motorizado, Carolina Durante",2020-12-18,7yA5MAd2vRuEnSH9LMGoqO,37,indie
half return,Adrianne Lenker,2020-10-23,1i8dJGpKO0xQiKGCVslJqB,70,indie
Long Blue Light,Leif Vollebekk,2020-11-10,4HOKq0bN93FsAhtZ5Wdq3y,60,indie
El Parque De Las Balas,Carolina Durante,2020-08-27,4BWUB3D50ketmphYXMe5D3,33,indie
Michelle,Sir Chloe,2020-10-23,6XrTwqp0vMc2Z3m4ttoyRe,65,indie
Too Many Drugs,Rigoberta Bandini,2020-02-28,36Ylur9D9t6AMcu6wCs2Bh,36,indie
Mi Deseo,Paco Amoroso,2020-06-17,3nWoohHkz34xvQqCAiRftV,54,indie
Cuando Tú Nazcas,Rigoberta Bandini,2020-11-20,27BLPAyRUBNW5B8jAd85aB,33,indie
Maine,Noah Kahan,2020-05-01,3Z2anmIVG8b1GelyeFQdnP,72,indie
Grecia,"Elsa y Elmar, Jósean Log, Daniel, Me Estás Matando",2020-01-23,1TLFTJWFxDpD7MrrfJXRpH,57,indie
Stronger,The Score,2020-08-28,3CrsuTJomWZmeXIvKhV45l,58,indie
parents,YUNGBLUD,2020-12-04,5v4OkFH0TJ6W1hCFxyn0px,62,indie
Noches de guardia,Sidecars,2020-09-04,1LQESGLnSpvFj1ViEhzEwP,33,indie
La cançó,Socunbohemio,2020-08-18,6Uv6TBTnjIwBTJgSaO4W21,33,indie
Luna,Judit Neddermann,2020-07-03,2MYTc4Y84bwo0c9bZmAOaM,34,indie
Lights,Ellie Goulding,2020-03-06,0LRCcpSgeozipxPpRg5wzx,60,indie
You're Somebody Else,flora cash,2020-03-06,6iWEhoALoBFnQMNVhYY0Sc,62,indie
Him & I,"G-Eazy, Halsey",2020-12-18,2lNdc3jjPV4aWEfKH0gvH2,61,indie
Thinking About You,Ocie Elliott,2020-03-20,49CJ4Klu0xxnj30DS0dpbS,58,indie
Love Me Anyway,Chappell Roan,2020-05-01,53KWkwzQq47p13swqiLAMI,65,indie
Freak (feat. REI AMI),"Sub Urban, REI AMI",2020-03-13,5jkbw3FDS3bSSb4oLKYbjf,63,indie
You're All I Want,Cigarettes After Sex,2020-05-13,2cTvZSCqzjkTMkIypLxUFH,63,indie
Time (For You),St Woods,2020-05-08,3wVS7nupxHDXUKfAcVdtj4,33,indie
Moon Song,Phoebe Bridgers,2020-06-18,46RNrAkGsqWTDrv2ZPOAbx,65,indie
Be Slow,Harrison Storm,2020-02-14,3j2SaDGyzZhiifh5g5tmNw,58,indie
Wish You Were Sober,Conan Gray,2020-03-20,0kn2gu8Pd03DiYHzRvX2Xk,66,indie
High And Dry,Rosie Carney,2020-12-11,7yttZmULyoii3eQ8fVZSrB,46,indie
Galaxia,Sidecars,2020-09-04,4k2rXEST4WhABauOv6Lhbu,32,indie
Chico Pum,Ginebras,2020-09-25,77qAr1xle5fDEGQOVUde6f,31,indie
Intolewd,Matt Maltese,2020-11-20,79rfskJwK9NLN3p5cdccth,63,indie
We Watch The Stars - Berlin Session,Fink,2020-04-17,5qKuefgF5B0caDyqNReAM2,55,indie
Glue Myself Shut,Noah Kahan,2020-05-01,67q8yivDoOPXCYodi1zTix,66,indie
You should be sad,Halsey,2020-01-17,7lidXGPXPYLNThITAOTlkK,64,indie
Es Verdad,"Daniel, Me Estás Matando",2020-10-16,0g2spETkJiflONR7kQjdU5,58,indie
Satisfied (Ambient Reprise),Catching Flies,2020-04-17,2k5SEAK05D29ZkqbnFgIVL,56,indie
La Declaración,El Zar,2020-05-15,0MArhYeFvgi8V2Pj3ecwBs,56,indie
Funny Thing,Thundercat,2020-04-03,1c5CllrZr45UBhWpIqM332,67,indie
Tondo,"Disclosure, Eko Roosevelt",2020-08-28,0csz09qS2n8Jo7LogHKu7j,55,indie
Garden Song,Phoebe Bridgers,2020-06-18,5bIgzvxvlefRUCQK9JPocF,60,indie
So We Won't Forget,Khruangbin,2020-06-26,4HpFU6eMThgW6Cael5AwYy,59,indie
Resin,Dustin Tebbutt,2020-08-28,6AmrRS8slCMxGUZePjV6dH,55,indie
Animal,Sir Chloe,2020-10-23,2RZWiishrE4Tygv9R7zuZe,63,indie
Steeeam,Shelly,2020-10-30,09RamrocZneYcLYLRIxYha,66,indie
Call Me When You Land,"Old Sea Brigade, Luke Sital-Singh",2020-05-22,24AlaGqIZd2nUspgzc2ph1,54,indie
From My Heart And My Soul (feat. Tarriona Tank Ball & Phoelix),"Terrace Martin, Robert Glasper, 9th Wonder, Kamasi Washington, Dinner Party, Tarriona 'Tank' Ball, Phoelix",2020-10-09,1G3T5V2s3fKF0jhSjr2ZjQ,55,indie
Oceans,"RY X, Ólafur Arnalds",2020-01-31,2eVofaQRJvddSUBfcub7Gz,54,indie
Forest Floor,Ocie Elliott,2020-03-20,4eD5DK6aIPsMtPlVN0OVtW,55,indie
Tidal Wave,"Tom Misch, Yussef Dayes",2020-04-24,4Goj7amQLl2PiPYaiB0VlV,56,indie
space girl,Frances Forever,2020-03-27,7FjIYiD53wxlQmzTT6Wdpf,59,indie
The Story,Conan Gray,2020-03-20,5GVPVxgdgTKJFxSxLVIw1A,57,indie
Oh No,Biig Piig,2020-10-21,5OplD6jkrUT7XJFFIM6mph,57,indie
Savior Complex,Phoebe Bridgers,2020-06-18,5BN59BDczcpxstFKILIH0q,61,indie
Kyoto,Phoebe Bridgers,2020-06-18,4vjvx7Zxkb4AltGcZ0BBvI,60,indie
overwhelmed,Royal & the Serpent,2020-06-26,5jjZikDrEd0by1o7V3fO4y,60,indie
Level of Concern,Twenty One Pilots,2020-04-09,6xZ4Q2k2ompmDppyeESIY8,59,indie
Lonely,Palaye Royale,2020-05-29,4jXbcY2ulVT7MOPdN8nR50,58,indie
The Cut That Always Bleeds,Conan Gray,2020-03-20,7I8tomzL7OFXyGt1HAKyb9,60,indie
Samara,Blanco White,2020-06-05,1uAvKraqOWgoCt8bwce9e9,53,indie
Somos Algo,"Daniel, Me Estás Matando",2020-10-16,2tGIjytBp6wBcPxiBrDu90,56,indie
Home,Bellah,2020-11-20,4Ebpa8CRiGYyMtqTciqJEi,58,indie
Why,Dominic Fike,2020-07-31,1xLs8Mu1QEVbGCpyHQ2r2U,64,indie
Graveyard,Halsey,2020-01-17,2ufmtcIFdFpuUYBPXK5f67,60,indie
Opaline,Novo Amor,2020-11-06,732Zsh1L5ixRNgAmiPyvrp,55,indie
Lost The Game,Two Feet,2020-03-13,7cS8eqcw4EQraaGYcUAANo,54,indie
Cupid,Jack Stauber's Micropop,2020-02-07,2t7RNUa8I8fbZAEAmZOkBl,61,indie
Fight or Flight,Conan Gray,2020-03-20,0yfDVYKVKYrHknz9gVOlQr,59,indie
You?,Two Feet,2020-03-13,7aW115ZGsZcA0Y2HQxiUIU,54,indie
Fame,Ocie Elliott,2020-03-20,3TOtNY3k8vrgoPI1TH3hwJ,52,indie
Krystal,Matt Maltese,2020-11-20,5JJPfHpByZ66XsEyCNVi2p,61,indie
Here Comes the Sun,SYML,2020-04-22,3S3eEF7z4kBXmw7kSZDHAc,48,indie
4ÆM,Grimes,2020-02-21,4keclC0eBhQm8lFtYmX01K,59,indie
Decimal,Novo Amor,2020-11-06,6eusWfAal7mOOLr0XFLkiY,56,indie
come,Adrianne Lenker,2020-10-23,6MX8v7cRooNQb5fW5Uo6Sm,63,indie
Pelota,Khruangbin,2020-06-26,6FNdzxV9g4NaINrejBTPUi,55,indie
Happy,Bukahara,2020-03-13,3gNGs3jVDgvbJUD8nNCZD0,54,indie
Chalouper,Gaël Faye,2020-11-06,4P89bNZVTCmu3zT0IBNLS8,54,indie
Alastor's Game,The Living Tombstone,2020-07-09,5gqGKzCDdxPHnRSkGoxD66,53,indie
She's The One,Salt Tree,2020-12-11,7FouFHy0cvr4T5v2jmqVtU,52,indie
ingydar,Adrianne Lenker,2020-10-23,5CpH0bwau1sW8vtTBQ8Erc,62,indie
Superclassico,Ernia,2020-06-18,6Ahg1hncxUdK0ICqU03BCu,58,indie
Si Hay Algo,Jósean Log,2020-08-14,4RBCEwBRA0oHa49UwmhT98,54,indie
The Difference,"Flume, Toro y Moi",2020-03-11,5kJ4BWZ9Y1qFIwwTbMIxYX,63,indie
Mind Is A Prison,Alec Benjamin,2020-05-29,2hGQDYmjkwTS0J7Q2bM2sF,56,indie
Afraid No More,Bukahara,2020-03-13,4hBKJTC82ubZ4wHieNy7aw,51,indie
Graceland Too,Phoebe Bridgers,2020-06-18,1WCjhRs2WBgyeGaybCX2Po,60,indie
Falling Apart,Slow Pulp,2020-10-09,2b7zdV4i5vEaRlZAkiIAR5,60,indie
Backyard Boy,Claire Rosinkranz,2020-10-02,04F42oEuKrRComYJfJuyVR,60,indie
Pastello Bianco,Pinguini Tattici Nucleari,2020-12-04,0bKDQionn4VKcgNKbs4SWX,61,indie
Time (You and I),Khruangbin,2020-06-26,0S3BtG3i5tkQmehJhIhHF3,57,indie
nadie va a pensar en ti mejor que yo - En Vivo,Ed Maverick,2020-01-17,5lbGMaHbrG3tMXyZJ8M3NC,52,indie
(Online Love),Conan Gray,2020-03-20,1WVunZLZM2zLTm5rAvKZkF,47,indie
People I Don't Like,UPSAHL,2020-07-17,5srKMwXoeyrRnyTnNbpgIW,59,indie
Everlasting Light,The Black Keys,2020-12-18,50ruR1ueH4wroJBpJOnjQS,47,indie
Without Me,"Halsey, Juice WRLD",2020-01-17,7MhNCT34oaLIxwAsZlZd67,62,indie
Midnight,"Khruangbin, Leon Bridges",2020-02-07,7pnVHbcqbmP7LA1ey3ydvu,57,indie
I / Me / Myself,Will Wood,2020-07-10,1lqj3wgPj8gHCdq46hUjvr,59,indie
On Division St,Nation of Language,2020-05-22,0gUJlYlu4cV90iyV2gTUmr,47,indie
Ojos Noche (feat. Carla Morrison),"Elsa y Elmar, Carla Morrison",2020-11-13,0fl9zrtFxmZEE3sx7RbS7k,53,indie
The End,JPOLND,2020-12-25,6CyoMFZcnFzoeiHBu5R32E,51,indie
Cosa Faremo Da Grandi?,Lucio Corsi,2020-01-17,1fi6WJYdiFQ7gEtAtJ8NH6,61,indie
Túnel de la Vida,El Plan De La Mariposa,2020-10-30,1xCD7ccEtiylN6BBJ4ogXF,56,indie
And It's Still Alright,Nathaniel Rateliff,2020-02-14,2tRxHjEkdgGMv9kZbOyqOH,58,indie
Alaska,Caiola,2020-10-02,58Jt8MKkvodjpQ4EQBXQ79,55,indie
Evermore,Hollow Coves,2020-06-19,7LdUTzOChvJJbJPZNhJj5X,49,indie
Too Close,Sir Chloe,2020-10-23,7M6KOBCfPzWqbkiaXnm7bd,60,indie
Coffee,Jack Stauber's Micropop,2020-03-08,2zmo93xTzKTP0lztR9iy9H,60,indie
acting like that (feat. Machine Gun Kelly),"YUNGBLUD, mgk",2020-12-04,1Pv3rDsjRl98xEQC56p8A0,54,indie
blind,ROLE MODEL,2020-10-21,0NuWgxEp51CutD2pJoF4OM,58,indie
Deep End,Fousheé,2020-07-31,6HlE9t71z9DjGi7KqSyEpA,56,indie
Ridere,Pinguini Tattici Nucleari,2020-02-07,5LZVK19ieaV8Mk9FsqTL3F,60,indie
Superstar Sh*t,Dominic Fike,2020-07-31,20j7l6tFtc5lynXpbOQg1O,61,indie
Glory,The Score,2020-08-28,67tgIGwcQvhungN7013EoM,52,indie
anything,Adrianne Lenker,2020-09-02,2k5ODImZ9YuXJLZUaBS3Xn,57,indie
SUGA's Interlude,"Halsey, SUGA, BTS",2020-01-17,1ZoQVu9XBssJBdeKMgF2eV,55,indie
Soñar Contigo,Charlie Rodd,2020-06-12,0E6DZBx42XXXIE1v1iP9O3,51,indie
Morning Matters,Yazmin Lacey,2020-02-27,1EeS8SQ0BAhNrLVLCNrxrj,52,indie
Nightrider,"Tom Misch, Yussef Dayes, Freddie Gibbs",2020-04-24,5TgZ7lOUugOdabBcD9a6ud,54,indie
Comfort Crowd,Conan Gray,2020-03-20,6uaBrivDHCaV0uBTiwHTUi,58,indie
Radio,Freak Slug,2020-09-15,1gyIYA98zceKTnjISviYRz,56,indie
Radio,Freak Slug,2020-09-15,1gyIYA98zceKTnjISviYRz,56,indie
I Deserve to Bleed,Sushi Soucy,2020-12-26,2gnTpHUZZyUgdRn2IFJczm,59,indie
Jesus in LA,Alec Benjamin,2020-05-29,0uLPKDuIhkIhttiwezNdiG,56,indie
FATAL,Paco Amoroso,2020-11-25,7xDfQ5TZRRmp5QNUVYsDqW,48,indie
Floating,Tay Oskee,2020-11-06,0pqnNiTcSnMh09MD7nFt76,49,indie
Sides of Me,Masego,2020-11-13,1Hl52AxTWYv4IMbNKbI5bl,52,indie
Freakin' Out On the Interstate,Briston Maroney,2020-07-10,0awZwmlC6pxH65KTZpadmX,63,indie
Heather,Conan Gray,2020-03-20,1hgNhooPszJZOZ0gLBU88t,51,indie
Must Have Been The Wind,Alec Benjamin,2020-05-29,6lERHAmBCZmgODv3OYENXi,54,indie
Burning Hour,Jadu Heart,2020-09-25,2dje3ZBu1j1r0QfR7mtS0l,53,indie
"Bemyself - from Hansa Studios, Berlin",Parcels,2020-04-29,3R1DPDoWdFdPeBj4aLwqBo,47,indie
Lotta True Crime,Penelope Scott,2020-09-25,18jbMG8etanCMt6C5wFRDa,60,indie
Minuit,Jumo,2020-06-05,4UAxmiriWgNyu40rePrrsn,49,indie
OK,Wallows,2020-03-20,0APAKxMXB7jdDs4kw1l30y,59,indie
Punisher,Phoebe Bridgers,2020-06-18,5LJ4ig9cMvjui3li1mrNRl,57,indie
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,2020-01-17,3nClCcBmn9NnrRQkQTkx1J,51,indie
Primavera,"Ainda, Jorge Drexler",2020-11-20,5Fganr8l64dNUWpk2622uD,44,indie
E-GIRLS ARE RUINING MY LIFE!,"CORPSE, Savage Ga$p",2020-09-25,7bCfHiRcfUjG0YVVNUL7Ve,60,indie
Games,NEIL FRANCES,2020-02-19,0kFvkwicbdsC2ML55qmV8V,52,indie
Algo Se Enciende,Jósean Log,2020-08-14,3QGHR9YV1iHOomq4FSxk2M,47,indie
So Cool,Reuben James,2020-05-01,2G4KvLGgx1zfjlU4jcfa8H,52,indie
No Me Toques Mal,"Santiago Navas, La Muchacha",2020-02-07,0g5dlQUamND1QwiY1yLD6I,40,indie
De Mí,"Dromedarios Mágicos, Ed Maverick",2020-04-23,3vqSTc3FRtURvEdOU9qODr,53,indie
Feel Better,Penelope Scott,2020-09-25,0mfHN9LcAPidSI3JCPqYml,59,indie
Friday Night Fire Fight,"Aligns, Rubicones",2020-12-11,1GhEAuoPdSPiOgqiwLvdf0,51,indie
Gang,"Anoraak, Sarah Maison",2020-04-10,1KJSxDub5zDQv1O15ewU72,50,indie
The Sun Is Up Forever,Joesef,2020-04-23,4i17ViZoevssgUvRifo0V5,51,indie
Can You Feel It,Birgir,2020-05-08,7jEN3nuX9eIIXu7Nz1wslG,44,indie
Pigstep (Stereo Mix),"Lena Raine, Minecraft",2020-06-05,2TmUt0ofWMa02MdYkKhK4C,54,indie
mars,YUNGBLUD,2020-12-04,6C6aknFp2XtjIq7xuvyfuY,51,indie
Finally // beautiful stranger,Halsey,2020-01-17,42SOtYBdnfj9zEdZSlAq5k,53,indie
Calico,Haux,2020-07-17,7CCjLo2MrzvWXOepY9PGnA,48,indie
In Your Eyes,Ben Abraham,2020-08-21,5c0z1ccAIoZl1okUhiqNOc,44,indie
La Danza de las Libélulas,"Manuel García, Mon Laferte",2020-02-21,7l62bYBU4F4SiRdGDhnqTn,46,indie
Curl up & Die,Matt Maltese,2020-11-20,0mDn9q0XZBVI3xICivkTY1,58,indie
Close To Me,"Ellie Goulding, Diplo, Swae Lee",2020-07-17,2GjMaJ7DacMIkgoe8oMXGg,58,indie
ALGO DEL VACÍO,"WOS, MANU OLIVA",2020-05-21,1dKjLvlAPTPlhRCFyA84Z9,45,indie
Breathe Again - Acoustic,Harrison Storm,2020-07-24,2Y29DHOl92FAqXy6Oe6f5h,48,indie
Anything You Want,JAWNY,2020-02-27,78LMazmfqncADjyJVae8dN,55,indie
Home,Caribou,2020-02-28,5k2LuHfNTJ2mCTj9tPtSaI,47,indie
A la Vez,Conociendo Rusia,2020-12-04,5C9IeDOtfwkDUGd9aF2ELI,51,indie
Laplace’s Angel (Hurt People? Hurt People!),Will Wood,2020-07-10,1oHbgg5WYa7WOJC8VoBVYi,57,indie
Actually,Dan Kye,2020-11-13,3hN5cipCofNVspWVkToiQD,51,indie
Never Come Back,Caribou,2020-02-28,0Ej6OBBtMvhjaJvtt1vtUt,49,indie
Feels Right,Biig Piig,2020-11-17,0BWBqb5XxraObLopqskk6D,54,indie
Delicate Weapon,"Grimes, Lizzy Wizzy",2020-12-18,1hT3eaGzrcFriQtgGdvsZv,53,indie
Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tory Lanez, Tyga",2020-02-07,0JjM9bKm4wrwohMslcm892,56,indie
Trieste,Lucio Corsi,2020-01-17,6E5ZSczNI6Y6EvXg0cMtLp,58,indie
OJERAS NEGRAS,WOS,2020-05-21,6xbN8rhmzmI4MfLRDXw5KP,44,indie
Sensitive,Dreamer Isioma,2020-01-29,06DPYEqSX1jMaxvnXNVshB,57,indie
Superstar,El Zar,2020-11-27,67AG59ltjS8JSqAUTWTJgu,51,indie
Paper Thin,Lianne La Havas,2020-07-17,7kC97zPE0PxrcItXyGdk8P,50,indie
I Was Born To Love You,Ray LaMontagne,2020-06-26,3YllcvA3PW1DUwjckCVjIw,51,indie
You and I,Caribou,2020-02-28,3fE5R4go6pHVxwG3sR3Uza,44,indie
Monster (feat. Olivia Olson & Half Shy),"Adventure Time, Half Shy, Olivia Olson",2020-12-04,57scbUX9utATbRFaYUWOnE,53,indie
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,2020-02-07,4XII12nbsvJblXfG1I2QR4,52,indie
Freeze Tag (feat. Phoelix),"Terrace Martin, Robert Glasper, 9th Wonder, Kamasi Washington, Dinner Party, Phoelix",2020-07-10,47v4uUtj5AukJmCbMq4Kry,51,indie
Strangers,Mt. Joy,2020-06-05,1bGJz16oDQgDOeTFaLm8Nz,64,indie
Carry On,"The Score, AWOLNATION",2020-08-28,58hzFlHm1gKIJzRMSt0vWV,48,indie
