age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_department,number_children,remote_work
33,no,travel_rarely,556.2566609977324,,28,4,life_sciences,1,29,2.0,male,69.53208262471655,3,2,laboratory_technician,3,married,4492.84,11681.39,1,y,,12,3,2,part_time,1,15,3,3,15,,5,7,4492.84,1990,53914,,,yes
34,no,non_travel,412.8015873015873,sales,10,3,life_sciences,1,30,4.0,male,,3,2,sales_executive,3,,3334.17,8668.83,1,y,yes,14,3,3,part_time,1,15,3,3,15,,0,7,3334.17,1989,40010,sales_executive_____sales,,yes
41,no,,1077.8650793650793,sales,37,1,,1,31,,female,,3,3,sales_executive,3,divorced,8705.83,22635.17,0,,,13,3,4,full_time,1,,3,4,22,,13,5,8705.83,1982,104470,sales_executive_____sales,,yes
47,no,,1032.4872861766066,research_&_development,25,3,medical,1,32,1.0,male,,3,3,healthcare_representative,3,,8339.32,21682.23,2,,,23,4,2,,0,25,3,3,17,,12,11,8339.32,1976,,healthcare_representative_____research_&_development,,yes
53,no,travel_rarely,1973.9841269841268,,5,3,,1,33,3.0,female,246.74801587301585,3,5,manager,3,,15943.72,41453.67,4,,,11,3,4,full_time,1,26,3,2,14,,4,8,15943.72,1970,191325,,,yes
35,no,,556.2566609977324,,1,4,marketing,1,34,3.0,male,69.53208262471655,2,2,sales_executive,1,single,4492.84,11681.39,0,y,no,14,,2,part_time,0,16,2,3,15,,2,8,4492.84,1988,53914,,,no
34,no,travel_rarely,556.2566609977324,,6,4,other,1,35,1.0,female,,3,2,research_scientist,3,single,4492.84,11681.39,1,y,,14,3,3,,0,16,3,3,16,,2,10,4492.84,1989,,,,yes
46,no,travel_rarely,1032.4872861766066,,1,2,,1,36,2.0,female,,3,3,sales_executive,1,divorced,8339.32,21682.23,1,,no,25,4,3,part_time,3,24,2,3,24,,15,7,8339.32,1977,100072,,,yes
43,no,,1657.3968253968255,,16,3,,1,37,4.0,female,207.1746031746032,3,4,manager,4,married,,34805.33,5,,,22,4,3,full_time,1,22,3,3,17,,1,9,,1980,160640,,,yes
36,no,,331.1904761904762,research_&_development,6,3,life_sciences,1,38,4.0,male,,3,1,laboratory_technician,4,married,2675.0,6955.0,0,,,11,3,3,full_time,1,16,4,3,15,,10,11,2675.0,1987,32100,laboratory_technician_____research_&_development,,yes
60,no,travel_frequently,1059.1904761904764,,28,3,,1,39,3.0,female,,2,3,sales_executive,1,married,8555.0,22243.0,4,y,no,19,3,4,full_time,0,22,5,4,18,13,13,11,8555.0,1963,102660,,,yes
40,no,travel_frequently,1080.7539682539684,,5,4,,1,40,4.0,male,,2,3,sales_executive,1,married,8729.17,22695.83,5,,yes,21,4,3,full_time,1,20,2,3,18,,1,12,8729.17,1983,104750,,,no
32,no,travel_rarely,635.7619047619048,,4,3,,1,41,3.0,female,,2,2,manufacturing_director,3,married,,13351.0,1,y,no,12,3,3,full_time,1,14,3,3,14,,6,8,,1991,61620,,,no
41,no,travel_rarely,487.0873015873016,,35,3,,1,42,,male,60.8859126984127,3,1,laboratory_technician,1,single,3934.17,10228.83,2,,yes,13,,3,full_time,0,20,3,3,18,,2,17,3934.17,1982,47210,,,yes
53,no,,1582.7713464696226,,2,2,medical,1,43,3.0,male,,3,4,manager,3,divorced,12783.92,33238.2,6,,no,13,3,3,full_time,1,22,3,4,17,,15,2,12783.92,1970,153407,,,no
36,yes,travel_rarely,290.03550973654063,,16,4,,1,44,3.0,female,36.25443871706758,4,1,laboratory_technician,1,single,,6090.75,1,y,,16,3,3,part_time,0,18,1,3,17,,15,14,,1987,28111,,,yes
46,no,,476.1507936507937,,8,4,life_sciences,1,45,4.0,female,,2,2,research_scientist,1,divorced,3845.83,9999.17,8,,yes,23,4,1,part_time,3,,2,3,16,,1,7,3845.83,1977,46150,,,no
38,no,travel_rarely,556.2566609977324,,1,4,,1,46,4.0,male,,3,2,sales_executive,2,married,4492.84,11681.39,0,,no,15,3,1,,2,16,3,,15,,5,8,4492.84,1985,53914,,,yes
51,no,,1032.4872861766066,,1,4,,1,47,1.0,female,,2,3,healthcare_representative,1,single,8339.32,21682.23,3,,,20,4,3,part_time,0,23,1,2,13,,12,8,8339.32,1972,100072,,,yes
43,no,,1749.7380952380954,,26,2,,1,48,3.0,male,,3,4,manager,4,married,14132.5,36744.5,1,,yes,12,3,4,full_time,2,25,3,4,25,,4,12,14132.5,1980,169590,,,yes
37,no,,290.03550973654063,,1,3,life_sciences,1,49,4.0,female,,3,1,research_scientist,4,single,,6090.75,1,,no,12,3,2,part_time,0,,3,3,17,,5,7,,1986,28111,,,yes
32,no,travel_rarely,556.2566609977324,,8,2,technical_degree,1,50,3.0,female,,2,2,sales_executive,2,married,,11681.39,1,,yes,11,3,4,part_time,0,,2,3,13,12,11,9,,1991,53914,,,yes
38,no,,1032.4872861766066,,1,3,,1,51,4.0,female,,3,3,research_director,1,married,8339.32,21682.23,1,,,13,3,2,part_time,1,15,3,3,15,,5,11,8339.32,1985,100072,,,no
46,no,,1582.7713464696226,,3,3,life_sciences,1,52,3.0,female,,3,4,manager,2,,12783.92,33238.2,8,,no,12,3,4,full_time,1,23,2,4,13,,5,1,12783.92,1977,153407,,,yes
35,yes,travel_rarely,1063.3174603174605,,10,3,medical,1,53,4.0,male,,2,3,sales_executive,1,married,8588.33,22329.67,9,,,17,3,3,,0,15,3,,13,,6,0,8588.33,1988,,,,no
43,no,,1973.9841269841268,,6,3,medical,1,54,1.0,female,,2,5,manager,3,married,15943.72,41453.67,7,,no,13,3,4,,0,21,2,3,16,,6,14,15943.72,1980,,,,yes
56,no,non_travel,556.2566609977324,,1,4,life_sciences,1,55,3.0,male,,3,2,healthcare_representative,3,divorced,4492.84,11681.39,1,y,no,21,,1,,1,,2,2,13,,1,9,4492.84,1967,,,,yes
36,no,non_travel,557.7619047619048,,15,4,marketing,1,56,4.0,male,,1,2,sales_executive,4,divorced,4505.0,11713.0,1,y,no,24,4,1,full_time,1,,4,2,15,,11,11,4505.0,1987,54060,,,yes
38,no,,556.2566609977324,,6,3,medical,1,57,2.0,female,,1,2,research_scientist,4,,,11681.39,7,y,,12,3,4,part_time,3,17,3,3,13,,1,9,,1985,53914,,,yes
49,no,,556.2566609977324,,26,4,medical,1,58,3.0,female,69.53208262471655,3,2,manufacturing_director,1,,,11681.39,1,,no,14,3,3,part_time,0,16,2,2,15,,5,11,,1974,53914,,,no
39,no,travel_rarely,608.936507936508,,4,4,life_sciences,1,59,4.0,female,,2,2,sales_executive,3,married,4918.33,12787.67,4,,,14,3,3,full_time,1,17,1,4,15,,5,9,4918.33,1984,59020,,,yes
40,no,,1119.9603174603176,,4,4,,1,60,3.0,male,139.9950396825397,2,3,sales_executive,4,married,,23519.17,7,y,no,11,,1,full_time,1,15,2,2,12,,2,11,,1983,108550,,,yes
36,no,,610.1746031746031,,5,2,,1,61,4.0,male,,3,2,laboratory_technician,2,single,4928.33,12813.67,8,y,no,16,3,4,full_time,0,16,3,4,13,,3,7,4928.33,1987,59140,,,yes
37,no,,556.2566609977324,,25,5,,1,62,2.0,female,,3,2,research_scientist,3,married,,11681.39,3,y,yes,15,3,1,,2,15,2,3,13,,10,7,,1986,53914,,,no
35,no,,685.6984126984128,,6,4,,1,63,2.0,male,,1,2,research_scientist,4,,5538.33,14399.67,1,y,,13,3,2,full_time,0,,3,3,17,,11,8,5538.33,1988,66460,,,yes
33,no,travel_frequently,556.2566609977324,,6,3,life_sciences,1,64,3.0,male,,3,2,healthcare_representative,4,divorced,4492.84,11681.39,3,,no,23,4,3,part_time,1,15,2,1,13,,4,7,4492.84,1990,53914,,,no
50,no,travel_rarely,1441.65873015873,research_&_development,24,3,,1,65,4.0,male,,3,4,manufacturing_director,3,married,,30274.83,3,,yes,18,3,4,full_time,1,22,2,3,12,,1,5,,1973,139730,manufacturing_director_____research_&_development,,no
48,no,travel_rarely,1032.4872861766066,,4,4,,1,66,3.0,male,,2,3,healthcare_representative,3,single,,21682.23,7,,,14,,2,part_time,0,27,3,3,15,11,4,8,,1975,100072,,,yes
44,no,travel_rarely,1374.2857142857142,sales,28,3,,1,67,4.0,female,,4,4,sales_executive,4,married,11100.0,28860.0,3,,,18,3,3,,1,,2,3,12,,11,11,11100.0,1979,,sales_executive_____sales,,yes
44,no,travel_rarely,556.2566609977324,,29,4,,1,68,4.0,male,69.53208262471655,3,2,research_scientist,4,single,,11681.39,1,y,,25,4,2,part_time,0,,3,3,20,,13,17,,1979,53914,,,yes
40,no,,556.2566609977324,,25,1,,1,69,,female,,4,2,healthcare_representative,3,,,11681.39,5,,no,20,4,2,part_time,3,15,0,3,12,,11,8,,1983,53914,,,yes
34,no,travel_rarely,689.9285714285714,,2,4,,1,70,3.0,female,86.24107142857143,3,2,healthcare_representative,4,single,5572.5,14488.5,1,,,11,3,4,full_time,0,14,2,4,14,,4,11,5572.5,1989,66870,,,yes
35,no,non_travel,556.2566609977324,research_&_development,8,4,,1,71,3.0,female,,3,2,healthcare_representative,3,,4492.84,11681.39,1,,,12,3,4,part_time,1,,5,3,14,,2,9,4492.84,1988,53914,healthcare_representative_____research_&_development,,yes
50,no,,1032.4872861766066,,17,5,life_sciences,1,72,4.0,female,,2,3,research_director,1,,,21682.23,5,,no,15,3,3,part_time,3,,3,3,14,11,1,11,,1973,100072,,,no
49,no,,1582.7713464696226,,6,1,life_sciences,1,73,3.0,female,197.8464183087028,2,4,healthcare_representative,3,,12783.92,33238.2,2,,,19,3,2,full_time,1,,3,3,15,,2,12,12783.92,1974,153407,,,yes
38,no,travel_frequently,488.531746031746,,1,3,life_sciences,1,74,4.0,male,61.06646825396825,3,2,research_scientist,4,,,10259.17,7,y,no,15,3,4,part_time,2,19,4,,13,,2,9,,1985,47350,,,yes
33,no,,290.03550973654063,,21,3,,1,75,2.0,male,,4,1,laboratory_technician,2,,,6090.75,1,,no,18,3,4,part_time,3,14,6,,14,,2,13,,1990,28111,,,yes
47,no,travel_rarely,1032.4872861766066,,4,3,life_sciences,1,76,3.0,female,,2,3,manufacturing_director,2,divorced,8339.32,21682.23,8,,yes,12,,3,part_time,1,,4,3,22,,14,10,8339.32,1976,100072,,,yes
38,no,,556.2566609977324,research_&_development,8,3,,1,77,4.0,female,,2,2,research_scientist,2,divorced,4492.84,11681.39,1,,,16,3,3,,1,20,3,3,20,,0,7,4492.84,1985,,research_scientist_____research_&_development,,no
37,no,travel_rarely,1032.4872861766066,,10,3,life_sciences,1,78,3.0,female,,4,3,research_director,4,,8339.32,21682.23,1,,yes,25,4,1,part_time,1,16,2,3,16,,6,8,8339.32,1986,100072,,,yes
30,no,,556.2566609977324,,2,3,,1,79,3.0,male,,2,2,healthcare_representative,4,married,,11681.39,1,,no,19,,1,part_time,3,11,3,3,11,,10,8,,1993,53914,,,yes
58,no,travel_rarely,1431.2380952380954,,18,4,,1,80,4.0,male,,3,4,sales_executive,3,single,11560.0,30056.0,0,,,13,3,3,full_time,0,38,1,2,37,,1,8,11560.0,1965,138720,,,yes
34,no,travel_rarely,1032.4872861766066,,5,3,,1,81,3.0,female,,2,3,manager,1,single,8339.32,21682.23,2,,,12,3,4,,0,14,6,3,11,,5,8,8339.32,1989,,,,no
58,yes,travel_rarely,1032.4872861766066,,23,4,medical,1,82,4.0,female,,3,3,healthcare_representative,4,married,8339.32,21682.23,1,,,12,3,4,part_time,1,40,3,2,40,,15,6,8339.32,1965,100072,,,yes
38,no,,1032.4872861766066,,3,3,life_sciences,1,83,1.0,male,,3,3,sales_executive,3,divorced,8339.32,21682.23,0,y,,12,3,3,,2,,6,2,16,,5,13,8339.32,1985,,,,yes
29,no,travel_frequently,1032.4872861766066,,1,1,,1,84,2.0,female,,3,3,sales_executive,4,married,8339.32,21682.23,1,y,,14,3,4,part_time,1,11,5,3,11,,4,1,8339.32,1994,100072,,,yes
55,no,travel_rarely,1964.9603174603176,,1,3,medical,1,85,4.0,male,245.6200396825397,3,5,manager,1,single,15870.83,41264.17,0,y,,14,3,3,full_time,0,37,2,3,36,,4,13,15870.83,1968,190450,,,yes
41,no,,1652.34126984127,,10,4,,1,86,4.0,male,,3,4,manager,2,,13345.83,34699.17,1,,,19,3,2,,0,,2,3,22,,0,4,13345.83,1982,,,,yes
39,no,travel_rarely,991.8174603174604,research_&_development,1,3,,1,87,3.0,male,123.97718253968254,4,3,healthcare_representative,4,,8010.83,20828.17,0,,no,17,,1,part_time,3,19,5,2,18,,3,7,8010.83,1984,96130,healthcare_representative_____research_&_development,,no
38,no,,1187.5396825396826,,15,2,life_sciences,1,88,3.0,male,148.44246031746033,2,3,research_director,4,,,24938.33,0,,,14,3,2,full_time,1,,3,3,11,,2,9,,1985,115100,,,yes
43,no,,1582.7713464696226,,12,3,,1,89,1.0,male,,2,4,research_director,2,,12783.92,33238.2,1,,no,11,3,3,full_time,1,,3,,25,,3,9,12783.92,1980,153407,,,yes
31,no,,444.26984126984127,,30,2,,1,90,2.0,female,,3,2,manufacturing_director,1,married,3588.33,9329.67,1,,no,12,3,2,,1,13,5,1,13,,3,12,3588.33,1992,,,,yes
50,no,travel_rarely,1758.7142857142858,research_&_development,27,4,life_sciences,1,91,,male,,2,4,manager,3,married,14205.0,36933.0,0,y,no,15,3,2,full_time,1,28,2,3,27,,15,7,14205.0,1973,170460,manager_____research_&_development,,yes
35,no,,1032.4872861766066,,25,3,technical_degree,1,92,4.0,male,129.06091077207583,2,3,manufacturing_director,2,married,8339.32,21682.23,3,y,no,16,,1,part_time,0,,2,3,13,,4,8,8339.32,1988,100072,,,no
47,no,,522.7857142857143,,16,4,,1,93,3.0,male,,4,2,manufacturing_director,3,,4222.5,10978.5,1,,yes,19,3,3,,0,20,3,,19,,2,7,4222.5,1976,,,,yes
35,no,,1032.4872861766066,research_&_development,25,4,,1,94,3.0,female,129.06091077207583,3,3,healthcare_representative,3,divorced,8339.32,21682.23,1,,yes,11,,3,part_time,1,,3,2,16,,10,1,8339.32,1988,100072,healthcare_representative_____research_&_development,,yes
40,no,travel_rarely,1032.4872861766066,,20,4,,1,95,1.0,male,129.06091077207583,3,3,healthcare_representative,4,married,,21682.23,4,y,,20,4,4,part_time,1,14,6,3,11,,11,1,,1983,100072,,,yes
45,no,,556.2566609977324,sales,9,4,life_sciences,1,96,2.0,female,,2,2,sales_executive,3,married,4492.84,11681.39,1,y,,13,3,4,part_time,1,15,2,3,15,,4,12,4492.84,1978,53914,sales_executive_____sales,,no
33,no,,290.03550973654063,research_&_development,9,3,medical,1,97,1.0,male,,3,1,research_scientist,4,married,,6090.75,0,y,,13,3,2,,1,15,5,3,14,,4,10,,1990,28111,research_scientist_____research_&_development,,no
36,no,travel_frequently,380.9206349206349,,3,3,,1,98,3.0,male,,3,1,research_scientist,2,married,3076.67,7999.33,1,y,no,12,3,3,full_time,0,12,2,2,11,,0,7,3076.67,1987,36920,,,no
45,yes,,1973.9841269841268,,13,3,marketing,1,99,1.0,female,246.74801587301585,1,5,manager,2,,15943.72,41453.67,2,,yes,16,3,1,full_time,0,26,2,3,24,,1,11,15943.72,1978,191325,,,yes
51,no,travel_frequently,2047.7063492063487,,27,3,,1,100,,male,255.96329365079364,3,5,manager,2,,,43001.83,4,,yes,24,,1,full_time,1,,5,2,29,,11,10,,1972,198470,,,no
34,no,travel_rarely,238.12698412698413,,7,2,technical_degree,1,101,2.0,male,,3,1,sales_representative,3,,,5000.67,0,,yes,25,4,2,part_time,1,12,4,3,11,,5,7,,1989,23080,,,no
43,no,travel_rarely,1582.7713464696226,research_&_development,15,2,,1,102,3.0,male,,2,4,research_director,3,,,33238.2,1,,no,24,4,1,full_time,1,,3,3,14,,6,11,,1980,153407,research_director_____research_&_development,,yes
34,no,,556.2566609977324,,5,2,medical,1,103,2.0,male,,2,2,laboratory_technician,4,,4492.84,11681.39,1,y,no,14,3,3,part_time,1,,3,,15,,4,13,4492.84,1989,53914,,,no
38,no,,290.03550973654063,,2,3,,1,104,1.0,male,,3,1,human_resources,2,divorced,2342.59,6090.75,5,,no,13,3,4,part_time,3,13,3,3,11,,3,8,2342.59,1985,28111,,,yes
48,no,,1973.9841269841268,,10,3,,1,105,4.0,male,,2,5,research_director,2,,,41453.67,4,y,no,12,3,4,full_time,0,29,3,3,22,,12,9,,1975,191325,,,no
34,no,,592.9444444444445,research_&_development,22,4,other,1,106,3.0,male,,2,2,research_scientist,4,married,4789.17,12451.83,1,,yes,15,3,2,full_time,0,16,3,3,15,,6,11,4789.17,1989,57470,research_scientist_____research_&_development,,no
32,no,travel_rarely,1075.2857142857142,,31,4,,1,107,,female,134.41071428571428,3,3,sales_executive,4,,8685.0,22581.0,1,y,no,19,3,3,full_time,2,14,3,3,14,,5,7,8685.0,1991,104220,,,yes
29,no,travel_rarely,1032.4872861766066,,21,4,life_sciences,1,108,2.0,female,,4,3,manufacturing_director,1,divorced,8339.32,21682.23,1,y,no,11,3,3,,1,10,1,3,10,,8,8,8339.32,1994,,,,no
46,no,,1032.4872861766066,,1,3,medical,1,109,3.0,male,,2,3,healthcare_representative,1,married,,21682.23,2,,yes,13,3,3,,1,21,5,2,10,,9,5,,1977,100072,,,no
30,no,,654.8492063492064,human_resources,9,3,,1,110,3.0,male,,3,2,human_resources,4,married,5289.17,13751.83,0,,yes,19,3,4,full_time,0,,2,1,11,,4,7,5289.17,1993,63470,human_resources_____human_resources,,no
45,no,,242.25396825396828,,9,3,life_sciences,1,111,2.0,male,,3,2,laboratory_technician,2,,1956.67,5087.33,8,y,no,18,3,3,part_time,1,20,2,,17,,0,15,1956.67,1978,23480,,,yes
30,no,travel_rarely,1032.4872861766066,,5,3,,1,112,2.0,female,129.06091077207583,3,3,sales_executive,4,,8339.32,21682.23,2,y,no,12,3,3,part_time,1,,2,3,10,,7,4,8339.32,1993,100072,,,yes
30,no,,316.95238095238096,,9,3,,1,113,3.0,male,,3,2,laboratory_technician,1,,,6656.0,1,y,no,11,,3,part_time,2,12,4,3,12,,6,10,,1993,30720,,,yes
34,no,travel_frequently,556.2566609977324,,29,1,,1,114,4.0,male,,2,2,manufacturing_director,3,married,4492.84,11681.39,1,,,17,3,3,,0,10,2,2,10,,1,9,4492.84,1989,,,,no
51,no,travel_rarely,1288.6507936507935,,8,4,life_sciences,1,115,2.0,male,,2,3,research_director,2,married,10408.33,27061.67,5,,no,16,3,4,full_time,2,16,5,1,10,,4,7,10408.33,1972,124900,,,no
34,no,,556.2566609977324,,39,4,life_sciences,1,116,,male,69.53208262471655,2,2,manufacturing_director,1,,4492.84,11681.39,6,,,13,3,2,part_time,1,13,3,3,11,,5,9,4492.84,1989,53914,,,yes
35,no,travel_rarely,827.4603174603175,,16,3,,1,117,3.0,male,,3,3,sales_executive,2,married,6683.33,17376.67,0,y,,15,3,3,part_time,2,12,3,2,11,,6,9,6683.33,1988,80200,,,yes
45,no,travel_frequently,1032.4872861766066,,7,3,life_sciences,1,118,1.0,male,,3,3,laboratory_technician,1,,8339.32,21682.23,1,y,,18,3,1,part_time,1,24,2,3,24,,9,11,8339.32,1978,100072,,,yes
39,no,,1760.9841269841272,,10,1,,1,119,3.0,male,,3,4,manager,1,married,,36980.67,1,,,14,,4,full_time,0,21,3,3,21,,11,10,,1984,170680,,,yes
31,no,,922.6904761904764,,7,2,,1,120,3.0,female,,2,3,manufacturing_director,3,married,7452.5,19376.5,1,,no,24,4,1,part_time,1,10,2,3,10,,8,9,7452.5,1992,89430,,,no
39,no,,1988.3809523809523,research_&_development,7,2,,1,121,3.0,male,,2,5,manager,4,married,16060.0,41756.0,1,y,,15,3,1,full_time,1,,2,3,21,,13,3,16060.0,1984,192720,manager_____research_&_development,,yes
45,no,travel_rarely,556.2566609977324,,8,4,,1,122,4.0,male,69.53208262471655,3,2,research_scientist,4,,4492.84,11681.39,9,y,no,14,3,1,part_time,2,12,3,3,10,,9,8,4492.84,1978,53914,,,yes
30,no,travel_rarely,556.2566609977324,sales,5,3,marketing,1,123,4.0,female,,2,2,sales_executive,3,,4492.84,11681.39,1,,,13,3,3,,3,10,2,3,10,,1,2,4492.84,1993,,sales_executive_____sales,,yes
31,no,,1032.4872861766066,,7,4,medical,1,124,3.0,female,129.06091077207583,3,3,manufacturing_director,4,,8339.32,21682.23,1,y,,14,3,3,part_time,0,11,2,2,11,,4,10,8339.32,1992,100072,,,no
36,no,,1032.4872861766066,,3,4,medical,1,125,1.0,male,,2,3,sales_executive,4,married,8339.32,21682.23,4,y,no,11,3,1,part_time,1,16,2,3,13,,1,12,8339.32,1987,100072,,,yes
36,no,travel_rarely,1032.4872861766066,,2,2,,1,126,2.0,male,,2,3,sales_executive,3,married,,21682.23,1,,,13,3,2,part_time,2,10,2,3,10,,9,0,,1987,100072,,,yes
55,no,travel_rarely,1582.7713464696226,,18,5,,1,127,1.0,female,197.8464183087028,3,4,manager,2,single,12783.92,33238.2,3,y,no,23,4,4,full_time,0,37,2,3,10,,7,7,12783.92,1968,153407,,,yes
35,no,,556.2566609977324,,1,3,,1,128,2.0,male,,3,2,sales_executive,3,,4492.84,11681.39,9,y,,11,3,3,part_time,0,15,2,3,11,,6,9,4492.84,1988,53914,,,yes
