,Loyalty_Number,Country,Province,City,Postal_Code,Gender,Education,Salary,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Cancellation_Year,Cancellation_Month
155,603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Star,4157.7,Standard,2016,2,2016.0,10.0
156,467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347.0,Married,Star,4160.02,Standard,2013,12,2018.0,10.0
169,553936,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,53465.0,Single,Star,4170.69,Standard,2014,12,2015.0,8.0
183,914255,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,4217.86,Standard,2015,11,2016.0,7.0
186,260106,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,88876.0,Single,Star,4228.25,Standard,2013,6,2017.0,4.0
189,397518,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76056.0,Married,Star,4235.18,Standard,2018,1,2018.0,9.0
190,645742,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,76056.0,Married,Star,4235.18,Standard,2014,8,2015.0,8.0
197,530105,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Star,4242.69,Standard,2017,11,2018.0,7.0
212,436498,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,4272.81,Standard,2013,11,2016.0,3.0
239,384146,Canada,Alberta,Peace River,T9O 2W2,Female,High School or Below,48890.0,Married,Nova,2790.23,2018 Promotion,2018,4,2018.0,12.0
243,156031,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,84981.0,Married,Star,4328.37,Standard,2014,12,2015.0,8.0
245,602176,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,76159.0,Married,Star,4330.39,Standard,2016,8,2018.0,5.0
267,176885,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,90142.0,Married,Star,4361.37,Standard,2015,12,2016.0,8.0
275,258358,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Single,Star,4363.2,Standard,2016,7,2017.0,3.0
277,474174,Canada,Ontario,Sudbury,M5V 1G5,Female,Doctor,218703.0,Married,Star,4365.26,Standard,2015,11,2018.0,1.0
278,474172,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,50951.0,Single,Star,4369.04,Standard,2015,5,2016.0,3.0
281,971902,Canada,Ontario,Toronto,M1R 4K3,Male,College,,Married,Star,4376.08,Standard,2014,1,2015.0,11.0
283,474757,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,78573.0,Divorced,Star,4376.36,Standard,2014,4,2015.0,5.0
292,236300,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,55522.0,Married,Star,4384.35,Standard,2015,8,2016.0,8.0
311,274698,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,57188.0,Married,Star,4434.41,Standard,2013,9,2018.0,3.0
352,471018,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,50047.0,Married,Star,4505.84,Standard,2015,8,2017.0,4.0
363,271641,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Nova,3256.77,2018 Promotion,2018,3,2018.0,12.0
381,566343,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Married,Star,4548.29,Standard,2013,12,2015.0,4.0
382,263729,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,94208.0,Single,Star,4554.56,Standard,2014,3,2014.0,11.0
383,326561,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,94208.0,Single,Star,4554.56,Standard,2015,1,2017.0,5.0
385,216652,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,73496.0,Married,Nova,5387.93,2018 Promotion,2018,2,2018.0,10.0
390,685792,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,60582.0,Divorced,Star,4563.02,Standard,2016,7,2017.0,9.0
401,947123,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,55985.0,Single,Star,4574.92,Standard,2017,11,2018.0,4.0
404,413445,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,68171.0,Divorced,Star,4582.16,Standard,2017,8,2018.0,4.0
417,321557,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,101826.0,Divorced,Star,4595.52,Standard,2013,12,2014.0,9.0
418,390719,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69609.0,Married,Star,4598.24,Standard,2014,3,2014.0,10.0
421,821379,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,59207.0,Married,Star,4601.91,Standard,2017,9,2018.0,5.0
423,517612,Canada,Ontario,Kingston,M9K 2P4,Male,High School or Below,65673.0,Single,Star,4605.04,Standard,2013,7,2016.0,1.0
432,446968,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,102934.0,Single,Star,4623.62,Standard,2015,1,2015.0,9.0
436,702493,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,,Married,Star,4624.62,Standard,2017,2,2017.0,10.0
442,842064,Canada,Nova Scotia,Halifax,B3J 9S2,Male,College,,Single,Star,4630.36,Standard,2013,12,2014.0,8.0
443,149542,Canada,Ontario,Toronto,P1W 1K4,Male,Bachelor,89094.0,Married,Star,4631.01,Standard,2014,10,2014.0,11.0
452,676676,Canada,Nova Scotia,Halifax,B3J 9S2,Female,College,,Single,Star,4642.02,Standard,2015,10,2016.0,6.0
453,401858,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Divorced,Star,4644.7,Standard,2017,8,2018.0,4.0
462,437269,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,4654.84,Standard,2016,3,2018.0,1.0
463,202761,Canada,Manitoba,Winnipeg,R3R 3T4,Female,College,,Married,Star,4654.95,Standard,2013,1,2014.0,7.0
464,723390,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,54139.0,Divorced,Star,4655.21,Standard,2013,1,2017.0,3.0
473,553567,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,87635.0,Married,Star,4669.23,Standard,2017,3,2017.0,11.0
486,871329,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,55795.0,Married,Star,4686.81,Standard,2013,6,2016.0,6.0
493,715668,Canada,Ontario,Ottawa,K1F 2R2,Female,High School or Below,73845.0,Married,Star,4698.35,Standard,2017,9,2017.0,10.0
496,873180,Canada,British Columbia,Vancouver,V6E 3D9,Male,Doctor,64828.0,Married,Star,4700.01,Standard,2017,12,2018.0,8.0
502,673061,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Single,Star,4706.68,Standard,2016,9,2017.0,5.0
509,264064,Canada,Saskatchewan,Regina,S6J 3G0,Male,College,,Married,Star,4715.47,Standard,2017,7,2018.0,3.0
530,555112,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Star,4740.2,Standard,2013,11,2017.0,8.0
531,726732,Canada,Manitoba,Winnipeg,R3R 3T4,Male,College,,Single,Star,4740.2,Standard,2015,6,2017.0,11.0
541,464471,Canada,Ontario,Toronto,P1J 8T7,Female,College,,Single,Star,4755.48,Standard,2014,12,2015.0,8.0
554,251116,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,83445.0,Married,Star,4766.65,Standard,2014,7,2017.0,1.0
557,368292,Canada,Alberta,Edmonton,T9G 1W3,Female,College,,Married,Star,4770.26,Standard,2016,11,2017.0,2.0
561,574560,Canada,Ontario,Toronto,P5S 6R4,Female,High School or Below,78644.0,Divorced,Star,4770.74,Standard,2014,6,2016.0,4.0
563,532925,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,52194.0,Married,Star,4773.66,Standard,2016,12,2017.0,8.0
575,687108,Canada,British Columbia,Kelowna,V09 2E9,Female,Bachelor,50795.0,Divorced,Star,4784.96,Standard,2016,3,2016.0,11.0
578,671764,Canada,Quebec,Tremblant,H5Y 2S9,Male,Doctor,222764.0,Single,Nova,35850.6,2018 Promotion,2018,3,2018.0,11.0
581,745336,Canada,Quebec,Montreal,H3T 8L4,Female,Doctor,288934.0,Married,Star,4791.08,Standard,2015,4,2015.0,12.0
597,217284,Canada,Alberta,Edmonton,T3G 6Y6,Female,Doctor,241906.0,Divorced,Star,4815.01,Standard,2015,5,2016.0,1.0
603,348299,Canada,British Columbia,Whistler,V6T 1Y8,Male,College,,Single,Star,4827.78,Standard,2013,8,2013.0,11.0
605,277356,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Divorced,Star,4830.91,Standard,2017,2,2017.0,10.0
607,936723,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Single,Star,4832.12,Standard,2017,2,2017.0,10.0
616,965066,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,85887.0,Married,Star,4838.21,Standard,2017,12,2018.0,8.0
627,999143,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,58473.0,Married,Star,4861.37,Standard,2015,7,2016.0,3.0
634,923268,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,70635.0,Married,Star,2457.58,2018 Promotion,2018,4,2018.0,12.0
665,306288,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,47792.0,Married,Star,4892.44,Standard,2013,11,2018.0,1.0
675,285738,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,58563.0,Divorced,Star,4896.56,Standard,2016,9,2017.0,5.0
690,883349,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,67182.0,Married,Star,4908.12,Standard,2014,4,2014.0,12.0
711,982608,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,,Single,Star,4921.75,Standard,2016,9,2017.0,5.0
720,788460,Canada,Ontario,Toronto,P1W 1K4,Male,Bachelor,83431.0,Married,Star,4930.95,Standard,2016,5,2018.0,2.0
721,765973,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Married,Star,4931.22,Standard,2015,4,2015.0,12.0
723,750776,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,53537.0,Married,Star,4935.19,Standard,2017,5,2018.0,1.0
725,936612,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,87727.0,Married,Aurora,4938.21,Standard,2017,1,2017.0,9.0
733,655614,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,89566.0,Divorced,Aurora,4945.07,Standard,2015,3,2015.0,11.0
734,101876,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Aurora,4949.53,Standard,2017,10,2018.0,6.0
736,622269,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,47523.0,Married,Aurora,4949.8,Standard,2014,4,2014.0,11.0
740,919922,Canada,Ontario,Sudbury,M5V 1G5,Female,College,,Divorced,Aurora,4957.16,Standard,2017,8,2018.0,4.0
744,307233,Canada,New Brunswick,Moncton,E1A 2A7,Male,College,,Single,Aurora,4965.49,Standard,2016,3,2018.0,11.0
751,368830,Canada,British Columbia,Victoria,V10 6T5,Female,College,,Single,Aurora,4974.24,Standard,2013,12,2014.0,8.0
764,809728,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,168331.0,Married,Aurora,4987.64,Standard,2018,1,2018.0,9.0
776,189146,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,68065.0,Single,Aurora,4999.35,Standard,2017,5,2018.0,1.0
779,917352,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,63901.0,Married,Aurora,5000.62,Standard,2017,7,2018.0,9.0
792,111646,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,67445.0,Single,Aurora,5015.01,Standard,2014,11,2018.0,1.0
804,342738,Canada,Nova Scotia,Halifax,B3C 2M8,Male,College,,Married,Aurora,5028.84,Standard,2014,4,2014.0,12.0
811,692097,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,92598.0,Single,Aurora,5039.44,Standard,2014,12,2015.0,8.0
814,410460,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,57117.0,Married,Aurora,5048.05,Standard,2017,1,2017.0,9.0
824,203258,Canada,Alberta,Calgary,T3E 2V9,Male,College,,Married,Aurora,5061.76,Standard,2014,2,2016.0,5.0
834,259634,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,49351.0,Married,Aurora,5070.35,Standard,2013,5,2018.0,5.0
867,421855,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,57975.0,Married,Aurora,5107.16,Standard,2015,8,2016.0,10.0
877,787172,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,100995.0,Married,Aurora,5113.87,Standard,2015,5,2016.0,1.0
882,226176,Canada,Alberta,Calgary,T3E 2V9,Female,College,,Single,Aurora,5121.56,Standard,2015,8,2016.0,4.0
883,837646,Canada,Ontario,Toronto,M2M 6J7,Female,College,,Single,Aurora,5121.56,Standard,2014,3,2018.0,4.0
891,887705,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,85866.0,Divorced,Aurora,5124.22,Standard,2015,1,2015.0,9.0
915,748286,Canada,Quebec,Montreal,H3T 8L4,Male,College,,Single,Aurora,5153.92,Standard,2016,11,2017.0,7.0
919,182587,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Single,Aurora,5156.07,Standard,2014,1,2017.0,12.0
920,818391,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,64035.0,Divorced,Aurora,5157.05,Standard,2018,7,2018.0,12.0
927,820187,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Single,Aurora,5162.37,Standard,2016,4,2016.0,7.0
938,527944,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,49202.0,Married,Aurora,5176.58,Standard,2014,6,2017.0,1.0
942,487536,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,102982.0,Married,Aurora,5181.62,Standard,2015,1,2016.0,9.0
946,508443,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,93028.0,Married,Aurora,5182.94,Standard,2015,8,2016.0,4.0
947,613925,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,93028.0,Married,Aurora,5182.94,Standard,2017,3,2017.0,11.0
950,400478,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,90828.0,Single,Aurora,5187.65,Standard,2017,7,2017.0,12.0
959,232426,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Single,Aurora,5208.35,Standard,2014,3,2014.0,11.0
962,879600,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,79745.0,Married,Aurora,5214.97,Standard,2015,12,2016.0,8.0
965,382045,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,61070.0,Divorced,Aurora,5217.51,Standard,2013,5,2016.0,10.0
969,359188,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,94633.0,Married,Aurora,5218.34,Standard,2017,4,2017.0,8.0
971,776830,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,47545.0,Married,Aurora,5218.97,Standard,2014,5,2014.0,7.0
974,627107,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Married,Aurora,5220.28,Standard,2016,5,2017.0,1.0
981,376929,Canada,Quebec,Montreal,H2Y 4R4,Male,High School or Below,69177.0,Married,Star,9753.31,2018 Promotion,2018,2,2018.0,3.0
986,650290,Canada,Manitoba,Winnipeg,R2C 0M5,Male,High School or Below,74119.0,Divorced,Aurora,5229.68,Standard,2013,1,2017.0,11.0
988,430712,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,82566.0,Married,Aurora,5233.95,Standard,2017,11,2018.0,7.0
996,161373,Canada,Ontario,Toronto,M2P 4F6,Male,Bachelor,58700.0,Married,Aurora,5243.83,Standard,2017,4,2017.0,12.0
1002,391357,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,53061.0,Married,Aurora,5246.28,Standard,2017,5,2018.0,1.0
1003,328173,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Single,Aurora,5247.85,Standard,2013,3,2018.0,7.0
1012,483747,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,64496.0,Single,Aurora,5255.58,Standard,2016,11,2017.0,7.0
1014,598258,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,88759.0,Married,Aurora,5256.92,Standard,2015,3,2016.0,11.0
1027,384905,Canada,Quebec,Quebec City,G1B 3L5,Female,College,,Divorced,Aurora,5264.64,Standard,2015,10,2016.0,6.0
1034,149981,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,94550.0,Single,Aurora,5272.52,Standard,2014,5,2015.0,10.0
1035,727053,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,76002.0,Married,Aurora,5272.7,Standard,2017,6,2018.0,2.0
1042,395189,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,99659.0,Married,Aurora,5279.48,Standard,2016,1,2016.0,9.0
1045,113316,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,60156.0,Single,Aurora,5282.54,Standard,2017,12,2018.0,8.0
1095,256945,Canada,Manitoba,Winnipeg,R3R 3T4,Female,College,,Married,Aurora,5331.82,Standard,2014,1,2014.0,9.0
1107,638754,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,62154.0,Divorced,Aurora,5350.21,Standard,2017,2,2017.0,3.0
1116,906564,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Aurora,5357.76,Standard,2013,11,2017.0,7.0
1122,759132,Canada,Ontario,Toronto,P1J 8T7,Male,College,,Married,Aurora,5366.78,Standard,2015,7,2016.0,12.0
1125,612650,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Aurora,5375.66,Standard,2014,2,2017.0,9.0
1127,343978,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,82434.0,Married,Aurora,5375.84,Standard,2016,11,2017.0,7.0
1137,535525,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,75346.0,Married,Aurora,5384.53,Standard,2017,8,2018.0,4.0
1146,706185,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,64138.0,Married,Aurora,5395.43,Standard,2013,5,2014.0,1.0
1163,334273,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,47918.0,Married,Aurora,5420.34,Standard,2016,11,2018.0,8.0
1170,572062,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,94433.0,Single,Aurora,5421.54,Standard,2013,4,2013.0,12.0
1171,556755,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,94119.0,Married,Aurora,5423.14,Standard,2018,5,2018.0,8.0
1172,922665,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,81237.0,Married,Aurora,5424.26,Standard,2015,11,2016.0,6.0
1173,308629,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Married,Aurora,5426.14,Standard,2016,1,2018.0,6.0
1178,564141,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Single,Aurora,5435.77,Standard,2014,1,2018.0,9.0
1187,405739,Canada,New Brunswick,Fredericton,E3B 2H2,Male,College,,Married,Aurora,5447.81,Standard,2013,8,2017.0,12.0
1204,275387,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,40528.0,Single,Star,4732.22,2018 Promotion,2018,3,2018.0,11.0
1223,471460,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,33306.0,Married,Star,4786.89,2018 Promotion,2018,4,2018.0,12.0
1239,393975,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,89626.0,Married,Aurora,5509.9,Standard,2015,7,2016.0,9.0
1240,636745,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,89626.0,Married,Aurora,5509.9,Standard,2015,11,2017.0,2.0
1243,153968,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,58445.0,Married,Aurora,5511.03,Standard,2014,11,2016.0,2.0
1250,171027,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,79336.0,Married,Aurora,5525.47,Standard,2013,7,2016.0,2.0
1259,957276,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,68968.0,Married,Aurora,5531.63,Standard,2015,7,2017.0,11.0
1261,343425,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98651.0,Married,Aurora,5532.75,Standard,2016,1,2017.0,4.0
1268,110142,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,4866.65,2018 Promotion,2018,2,2018.0,10.0
1271,955567,Canada,Ontario,London,M5B 3E4,Female,Bachelor,56241.0,Married,Aurora,5553.19,Standard,2018,1,2018.0,9.0
1276,103352,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,69742.0,Married,Aurora,5555.49,Standard,2014,11,2015.0,9.0
1280,845947,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,86067.0,Single,Aurora,5555.83,Standard,2017,12,2018.0,8.0
1285,958026,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,99724.0,Divorced,Aurora,5561.29,Standard,2017,6,2018.0,7.0
1287,665373,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,68372.0,Married,Aurora,5564.74,Standard,2016,9,2017.0,5.0
1288,240299,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,65938.0,Married,Aurora,5564.96,Standard,2014,3,2014.0,11.0
1294,670289,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,71103.0,Married,Aurora,5569.46,Standard,2017,12,2018.0,8.0
1305,319766,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,52217.0,Married,Aurora,5578.52,Standard,2016,2,2016.0,10.0
1311,306965,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,100809.0,Married,Aurora,5586.89,Standard,2013,6,2018.0,10.0
1325,476080,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,59709.0,Married,Aurora,5597.12,Standard,2016,7,2017.0,5.0
1331,468542,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,87848.0,Married,Aurora,5111.3,2018 Promotion,2018,4,2018.0,12.0
1340,638528,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,68739.0,Married,Aurora,5619.07,Standard,2013,3,2015.0,8.0
1360,952859,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,85447.0,Married,Aurora,5639.94,Standard,2014,5,2014.0,7.0
1363,614787,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,60788.0,Divorced,Aurora,5641.36,Standard,2014,10,2017.0,1.0
1369,408091,Canada,Ontario,Toronto,M1R 4K3,Male,College,,Married,Aurora,5657.03,Standard,2016,10,2017.0,6.0
1372,372961,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,82681.0,Married,Aurora,5659.24,Standard,2016,3,2017.0,5.0
1405,633734,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,53661.0,Married,Aurora,5728.58,Standard,2017,7,2018.0,3.0
1419,733226,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,57406.0,Married,Aurora,5754.75,Standard,2017,5,2018.0,1.0
1420,855153,Canada,Ontario,Ottawa,K1G 4Z0,Female,Bachelor,103367.0,Married,Aurora,5755.18,Standard,2016,8,2017.0,4.0
1429,390651,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,47416.0,Married,Aurora,5764.65,Standard,2013,2,2015.0,1.0
1432,745600,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,99600.0,Married,Aurora,5768.83,Standard,2014,4,2018.0,4.0
1447,630290,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Aurora,5802.84,Standard,2017,2,2017.0,9.0
1448,171902,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,77602.0,Single,Aurora,5807.66,Standard,2017,7,2018.0,3.0
1453,958941,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Married,Aurora,6714.07,2018 Promotion,2018,2,2018.0,10.0
1458,915927,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,88663.0,Married,Aurora,5821.68,Standard,2015,3,2015.0,11.0
1459,173666,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,86039.0,Divorced,Aurora,5824.22,Standard,2016,6,2018.0,8.0
1461,607266,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,61882.0,Married,Aurora,5824.82,Standard,2016,3,2016.0,3.0
1462,415292,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,54026.0,Married,Aurora,5827.41,Standard,2015,3,2016.0,7.0
1464,243294,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,65416.0,Married,Aurora,5827.48,Standard,2018,1,2018.0,12.0
1474,761444,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Aurora,5846.42,Standard,2015,4,2015.0,12.0
1476,389996,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,81308.0,Married,Aurora,5849.49,Standard,2015,2,2017.0,9.0
