,Loyalty_Number,Province,City,Postal_Code,Gender,Education,Salary_$,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Date
70,230908,British_Columbia,Vancouver,V6E_3Z3,Male,Doctor,217538,Divorced,Star,3964.15,Standard,2012-05
71,972581,British_Columbia,Vancouver,V5R_1W3,Male,High_School_or_Below,48744,Married,Star,3964.53,Standard,2016-02
72,357549,British_Columbia,Whistler,V6T_1Y8,Female,Bachelor,76410,Single,Star,3964.73,Standard,2018-09
73,330694,Alberta,Edmonton,T3G_6Y6,Female,Bachelor,105053,Married,Aurora,6172.91,2018_Promotion,2018-02
74,910875,Quebec,Hull,J8Y_3Z5,Female,Bachelor,84914,Married,Star,3966.13,Standard,2012-11
75,501704,Quebec,Hull,J8Y_3Z5,Male,College,79359,Divorced,Star,3974.86,Standard,2013-05
76,529098,British_Columbia,Vancouver,V6E_3Z3,Female,College,79359,Divorced,Star,3974.86,Standard,2017-10
77,265297,Manitoba,Winnipeg,R2C_0M5,Female,Bachelor,60519,Married,Star,3978.67,Standard,2018-07
78,567875,Quebec,Quebec_City,G1B_3L5,Female,Bachelor,102457,Married,Star,3979.72,Standard,2017-05
79,688524,Manitoba,Winnipeg,R2C_0M5,Female,Bachelor,103862,Married,Star,3980.42,Standard,2013-03
80,269070,British_Columbia,Vancouver,V6E_3Z3,Male,Master,93153,Married,Star,3985.32,Standard,2013-01
81,387705,Quebec,Hull,J8Y_3Z5,Female,Master,93153,Married,Star,3985.32,Standard,2013-04
82,923293,Saskatchewan,Regina,S6J_3G0,Male,Bachelor,86793,Divorced,Star,3985.55,Standard,2016-06
83,283314,Ontario,Toronto,M2Z_4K1,Female,Bachelor,72127,Married,Star,3991.73,Standard,2013-04
84,322102,British_Columbia,Vancouver,V5R_1W3,Male,College,79359,Married,Star,3992.58,Standard,2013-08
85,789157,British_Columbia,Vancouver,V6E_3Z3,Female,College,79359,Single,Star,3995.36,Standard,2018-09
86,654748,Ontario,Ottawa,K1F_2R2,Female,Bachelor,65721,Married,Star,3996.77,Standard,2017-04
87,984713,Ontario,Sudbury,M5V_1G5,Female,College,79359,Single,Star,3997.48,Standard,2018-08
88,114835,Ontario,Toronto,M1R_4K3,Female,Master,101354,Divorced,Star,4001.52,Standard,2017-07
89,328936,Ontario,Thunder_Bay,K8T_5M5,Female,Bachelor,53118,Married,Star,4005.72,Standard,2015-03
90,845864,British_Columbia,Vancouver,V5R_1W3,Female,Doctor,115440,Married,Star,4013.85,Standard,2013-04
91,645265,Quebec,Quebec_City,G1B_3L5,Male,Bachelor,73313,Married,Star,4013.95,Standard,2013-03
92,223587,British_Columbia,Vancouver,V6E_3Z3,Female,Bachelor,100167,Married,Star,4013.96,Standard,2017-08
93,158560,British_Columbia,Vancouver,V6E_3D9,Male,Bachelor,59262,Married,Star,4014.45,Standard,2015-12
94,417584,British_Columbia,Vancouver,V5R_1W3,Male,Bachelor,59262,Married,Star,4014.45,Standard,2014-05
95,566033,Ontario,Toronto,M2P_4F6,Male,College,79359,Married,Star,4015.21,Standard,2015-06
96,472521,Alberta,Edmonton,T9G_1W3,Male,College,79359,Married,Aurora,6265.34,2018_Promotion,2018-03
97,425854,Ontario,Toronto,P1J_8T7,Female,High_School_or_Below,39079,Married,Star,4016.13,Standard,2016-11
98,174896,Alberta,Edmonton,T3G_6Y6,Female,College,79359,Single,Star,4016.54,Standard,2015-04
99,695855,Quebec,Montreal,H2T_2J6,Female,College,79359,Divorced,Star,4019.38,Standard,2013-04
100,699511,British_Columbia,West_Vancouver,V6V_8Z3,Female,College,79359,Divorced,Star,4019.38,Standard,2014-07
101,377322,Alberta,Edmonton,T9G_1W3,Female,Bachelor,62518,Married,Star,4023.81,Standard,2016-05
102,511053,Ontario,Toronto,M2M_7K8,Male,Bachelor,62518,Married,Star,4023.81,Standard,2015-03
103,890753,Quebec,Montreal,H2Y_2W2,Male,College,79359,Married,Star,4025.1,Standard,2017-09
104,796670,Manitoba,Winnipeg,R2C_0M5,Female,Bachelor,47536,Married,Star,4035.68,Standard,2014-02
105,556136,Quebec,Montreal,H4G_3T4,Female,College,79359,Married,Star,4035.77,Standard,2017-01
106,513081,Alberta,Edmonton,T9G_1W3,Female,Bachelor,98320,Married,Star,4037.5,Standard,2015-11
107,930718,Quebec,Montreal,H2T_2J6,Female,High_School_or_Below,63577,Married,Star,4037.55,Standard,2015-07
108,235872,Ontario,Toronto,P1J_8T7,Female,Doctor,89057,Single,Star,4046.94,Standard,2013-03
109,881142,British_Columbia,Vancouver,V1E_4R6,Female,Doctor,89057,Single,Star,4046.94,Standard,2016-09
110,295147,British_Columbia,Kelowna,V09_2E9,Male,Bachelor,99814,Married,Star,4048.16,Standard,2017-05
111,306110,Ontario,Toronto,P1J_8T7,Male,Bachelor,64587,Married,Star,4053.37,Standard,2013-05
112,295217,Ontario,Toronto,M1R_4K3,Female,Doctor,67411,Divorced,Star,4059.57,Standard,2016-06
113,967300,Alberta,Edmonton,T9G_1W3,Male,Bachelor,62630,Single,Aurora,6364.9,2018_Promotion,2018-03
114,591731,Ontario,Toronto,P2T_6G3,Male,Bachelor,51370,Married,Star,4064.18,Standard,2013-09
115,326905,British_Columbia,Vancouver,V5R_1W3,Female,College,79359,Married,Star,4068.09,Standard,2017-02
116,375511,Quebec,Montreal,H2Y_2W2,Female,Bachelor,59300,Single,Star,4070.05,Standard,2014-07
117,485283,Ontario,Toronto,P1J_8T7,Male,Bachelor,102479,Single,Star,4072.85,Standard,2017-09
118,920716,Alberta,Peace_River,T9O_2W2,Female,College,79359,Single,Aurora,7098.91,2018_Promotion,2018-04
119,797685,Alberta,Edmonton,T3G_6Y6,Male,College,79359,Married,Star,4079.13,Standard,2017-06
120,216467,New_Brunswick,Fredericton,E3B_2H2,Male,Doctor,90995,Married,Star,4083.56,Standard,2014-07
121,958839,Quebec,Montreal,H4G_3T4,Male,Doctor,90995,Married,Star,4083.56,Standard,2018-08
122,539673,Ontario,Toronto,P5S_6R4,Female,Bachelor,49558,Married,Star,4087.51,Standard,2015-02
123,746226,British_Columbia,Whistler,V6T_1Y8,Female,Bachelor,63501,Married,Star,4089.04,Standard,2018-01
124,484718,British_Columbia,Vancouver,V6E_3Z3,Male,Bachelor,76367,Single,Star,4089.46,Standard,2012-06
125,528492,Quebec,Hull,J8Y_3Z5,Male,Bachelor,60360,Married,Star,4090.75,Standard,2015-06
126,995091,British_Columbia,Whistler,V6T_1Y8,Female,Bachelor,55454,Married,Star,4095.2,Standard,2017-09
127,632793,Quebec,Hull,J8Y_3Z5,Female,High_School_or_Below,60370,Single,Star,4097.37,Standard,2016-06
128,912220,British_Columbia,Vancouver,V6E_3Z3,Male,High_School_or_Below,60370,Single,Star,4097.37,Standard,2013-08
129,382197,British_Columbia,Vancouver,V6E_3Z3,Male,Bachelor,69367,Married,Star,4100.47,Standard,2017-10
130,705196,British_Columbia,Whistler,V6T_1Y8,Female,College,79359,Single,Star,4101.94,Standard,2013-11
131,123094,British_Columbia,Vancouver,V6E_3Z3,Female,Bachelor,92223,Married,Star,4103.85,Standard,2018-01
132,366540,Alberta,Calgary,T3E_2V9,Female,Bachelor,90077,Married,Aurora,7288.88,2018_Promotion,2018-03
133,119488,Quebec,Tremblant,H5Y_2S9,Female,College,79359,Single,Star,4108.26,Standard,2017-06
134,287750,Ontario,Ottawa,K1F_2R2,Female,College,79359,Single,Star,4109.31,Standard,2012-08
135,735846,Ontario,Trenton,K8V_4B2,Male,Bachelor,95318,Married,Star,4109.79,Standard,2012-08
136,606026,British_Columbia,Vancouver,V6E_3Z3,Male,Bachelor,55207,Single,Star,4110.62,Standard,2015-07
137,460291,British_Columbia,West_Vancouver,V6V_8Z3,Female,Bachelor,55476,Divorced,Star,4111.2,Standard,2015-09
138,743001,British_Columbia,Vancouver,V6E_3D9,Female,Bachelor,79533,Married,Star,4111.89,Standard,2017-05
139,869799,Ontario,Toronto,P1W_1K4,Female,Bachelor,79533,Married,Star,4111.89,Standard,2015-03
140,520321,Ontario,London,M5B_3E4,Female,Doctor,237245,Married,Star,4112.84,Standard,2015-09
141,279419,British_Columbia,West_Vancouver,V6V_8Z3,Female,College,79359,Single,Star,4117.37,Standard,2013-07
142,170585,Ontario,Thunder_Bay,K8T_5M5,Male,Bachelor,82675,Single,Star,4118.59,Standard,2013-08
143,188340,Ontario,Toronto,M2M_7K8,Male,Bachelor,82675,Single,Star,4118.59,Standard,2017-04
144,670817,Ontario,Ottawa,K1F_2R2,Male,Bachelor,82675,Single,Star,4118.59,Standard,2016-12
145,509513,British_Columbia,Vancouver,V5R_1W3,Male,College,79359,Single,Star,4121.25,Standard,2012-12
146,779247,Manitoba,Winnipeg,R2C_0M5,Male,Bachelor,86987,Married,Star,4122.57,Standard,2012-09
147,111255,Quebec,Hull,J8Y_3Z5,Male,High_School_or_Below,70272,Married,Star,4122.96,Standard,2013-03
148,763061,Ontario,Toronto,P2T_6G3,Male,Bachelor,56845,Married,Star,4126.61,Standard,2014-04
149,766335,Alberta,Edmonton,T9G_1W3,Male,Bachelor,67756,Married,Aurora,7482.49,2018_Promotion,2018-02
150,428919,Quebec,Montreal,H2T_9K8,Female,Bachelor,58209,Divorced,Star,4139.9,Standard,2015-07
151,139863,Quebec,Montreal,H2T_9K8,Male,Bachelor,67223,Married,Star,4142.56,Standard,2015-10
152,695755,British_Columbia,West_Vancouver,V6V_8Z3,Female,Bachelor,79088,Married,Star,4144.87,Standard,2012-04
153,355331,Ontario,Thunder_Bay,K8T_5M5,Male,College,79359,Divorced,Star,4145.02,Standard,2013-07
154,578837,Ontario,Toronto,P5S_6R4,Male,College,79359,Single,Star,4152.65,Standard,2012-05
155,603248,British_Columbia,Vancouver,V6E_3D9,Male,College,79359,Married,Star,4157.7,Standard,2016-02
156,467182,Alberta,Edmonton,T9G_1W3,Female,Bachelor,102347,Married,Star,4160.02,Standard,2013-12
157,601407,Ontario,Toronto,M2M_7K8,Male,Bachelor,72809,Married,Star,4165.17,Standard,2015-09
158,700871,Newfoundland,St._John's,A1C_6H9,Female,Bachelor,74567,Married,Star,4165.25,Standard,2015-12
159,203809,Alberta,Edmonton,T3G_6Y6,Female,High_School_or_Below,54160,Married,Star,4165.35,Standard,2012-07
160,705589,Ontario,Toronto,P1L_8X8,Female,College,79359,Single,Star,4165.99,Standard,2012-05
161,354438,Quebec,Montreal,H2T_2J6,Male,College,79359,Married,Star,4167.09,Standard,2018-09
162,746060,British_Columbia,Victoria,V10_6T5,Male,College,79359,Married,Star,4167.09,Standard,2014-04
163,469718,Ontario,Toronto,P1J_8T7,Male,Bachelor,73544,Married,Star,4167.42,Standard,2013-01
164,164429,British_Columbia,Dawson_Creek,U5I_4F1,Female,Bachelor,57852,Single,Star,4169.36,Standard,2012-09
165,708373,Ontario,Toronto,M2P_4F6,Female,Bachelor,57852,Single,Star,4169.36,Standard,2017-03
166,225088,British_Columbia,Vancouver,V5R_1W3,Male,Bachelor,97991,Married,Star,4170.34,Standard,2015-09
167,100214,British_Columbia,Vancouver,V5R_1W3,Male,Bachelor,63253,Married,Star,4170.57,Standard,2015-08
168,459999,Quebec,Tremblant,H5Y_2S9,Male,Bachelor,53465,Single,Star,4170.69,Standard,2017-09
169,553936,Ontario,Toronto,P1J_8T7,Female,Bachelor,53465,Single,Star,4170.69,Standard,2014-12
170,268128,Ontario,Toronto,P1W_1K4,Female,High_School_or_Below,47663,Married,Star,4177.88,Standard,2013-01
171,930584,British_Columbia,Vancouver,V5R_1W3,Male,College,79359,Single,Star,4185.76,Standard,2015-07
172,327796,Quebec,Quebec_City,G1B_3L5,Male,College,79359,Single,Star,4191.06,Standard,2017-06
173,947467,British_Columbia,Vancouver,V6E_3D9,Female,Bachelor,49937,Married,Star,4196.43,Standard,2015-02
174,743510,British_Columbia,Vancouver,V6E_3D9,Male,College,79359,Single,Star,4196.65,Standard,2016-05
175,580324,British_Columbia,Vancouver,V6E_3D9,Male,Bachelor,61113,Married,Star,4198.03,Standard,2013-06
176,845613,Quebec,Montreal,H2Y_4R4,Male,Bachelor,54297,Married,Star,4198.03,Standard,2018-10
177,645919,Alberta,Edmonton,T3G_6Y6,Female,Bachelor,66297,Divorced,Aurora,7484.31,2018_Promotion,2018-03
178,423324,Quebec,Montreal,H2Y_2W2,Male,Bachelor,69599,Divorced,Star,4200.37,Standard,2017-12
179,101945,Nova_Scotia,Halifax,B3C_2M8,Male,Bachelor,86098,Married,Star,4202.66,Standard,2013-11
180,713636,Ontario,London,M5B_3E4,Male,Doctor,48109,Married,Star,4212.8,Standard,2014-08
181,302509,British_Columbia,Dawson_Creek,U5I_4F1,Male,Doctor,74238,Married,Star,4213.92,Standard,2017-03
182,789421,British_Columbia,Vancouver,V1E_4R6,Female,College,79359,Single,Star,4217.86,Standard,2016-11
183,914255,Ontario,Toronto,M8Y_4K8,Male,College,79359,Single,Star,4217.86,Standard,2015-11
184,675879,Alberta,Edmonton,T3G_6Y6,Male,Bachelor,78617,Married,Aurora,8000.55,2018_Promotion,2018-02
185,404426,British_Columbia,Vancouver,V6E_3D9,Female,Doctor,99696,Married,Star,4223.27,Standard,2014-09
186,260106,Manitoba,Winnipeg,R2C_0M5,Female,Bachelor,88876,Single,Star,4228.25,Standard,2013-06
187,827194,Alberta,Edmonton,T3G_6Y6,Female,Bachelor,71450,Married,Aurora,8255.76,2018_Promotion,2018-03
188,438023,British_Columbia,West_Vancouver,V6V_8Z3,Male,College,79359,Married,Star,4228.73,Standard,2013-01
189,397518,Saskatchewan,Regina,S6J_3G0,Male,Bachelor,76056,Married,Star,4235.18,Standard,2018-01
190,645742,Ontario,Kingston,M9K_2P4,Male,Bachelor,76056,Married,Star,4235.18,Standard,2014-08
191,872932,Quebec,Montreal,H2Y_2W2,Male,High_School_or_Below,72685,Married,Star,4236.3,Standard,2015-03
192,407945,New_Brunswick,Fredericton,E3B_2H2,Female,Bachelor,75108,Married,Star,4236.47,Standard,2012-12
193,211714,British_Columbia,Vancouver,V6E_3Z3,Female,Doctor,103572,Married,Star,4236.84,Standard,2015-06
194,410982,Ontario,Trenton,K8V_4B2,Male,Master,132353,Married,Star,4237.37,Standard,2017-02
195,905213,British_Columbia,Vancouver,V6E_3D9,Female,Master,132353,Married,Star,4237.37,Standard,2015-10
196,147898,Quebec,Tremblant,H5Y_2S9,Female,High_School_or_Below,59849,Divorced,Star,4241.64,Standard,2012-08
197,530105,Ontario,London,M5B_3E4,Male,College,79359,Single,Star,4242.69,Standard,2017-11
198,610946,Manitoba,Winnipeg,R2C_0M5,Female,Bachelor,56947,Married,Star,4244.47,Standard,2016-12
199,383108,British_Columbia,Vancouver,V5R_1W3,Female,Bachelor,64497,Married,Star,4247.68,Standard,2012-06
200,836343,Ontario,Toronto,P1L_8X8,Female,Bachelor,64497,Married,Star,4247.68,Standard,2017-04
201,110262,Alberta,Edmonton,T9G_1W3,Male,Bachelor,52267,Married,Aurora,9427.68,2018_Promotion,2018-02
202,585357,Quebec,Quebec_City,G1B_3L5,Male,College,79359,Single,Star,4250.28,Standard,2016-10
203,784804,Alberta,Banff,T4V_1D4,Female,College,79359,Single,Star,4250.28,Standard,2015-08
204,719633,British_Columbia,Victoria,V10_6T5,Male,Bachelor,52109,Divorced,Star,4250.78,Standard,2016-12
205,715764,Manitoba,Winnipeg,R3R_3T4,Male,College,79359,Single,Star,4253.28,Standard,2016-08
206,753473,Ontario,Toronto,M2M_7K8,Female,Doctor,70996,Single,Star,4254.62,Standard,2013-07
207,980856,Nova_Scotia,Halifax,B3J_9S2,Male,Doctor,70996,Single,Star,4254.62,Standard,2015-02
208,271660,British_Columbia,Vancouver,V5R_1W3,Male,College,79359,Married,Star,4270.03,Standard,2015-04
209,342980,Alberta,Peace_River,T9O_2W2,Female,Bachelor,69086,Single,Aurora,19480.5,2018_Promotion,2018-02
210,830547,British_Columbia,Vancouver,V5R_1W3,Male,Bachelor,51111,Single,Star,4271.2,Standard,2018-05
211,264936,British_Columbia,Whistler,V6T_1Y8,Female,College,79359,Single,Star,4272.81,Standard,2013-08
212,436498,Quebec,Montreal,H2T_9K8,Male,College,79359,Single,Star,4272.81,Standard,2013-11
213,976513,Quebec,Quebec_City,G1B_3L5,Female,Bachelor,92067,Married,Star,4273.59,Standard,2014-08
214,828776,Ontario,Toronto,P2T_6G3,Male,Bachelor,60899,Married,Star,4274.62,Standard,2017-05
215,240362,Ontario,Toronto,M2M_7K8,Male,Bachelor,58756,Married,Star,4276.36,Standard,2014-10
216,137845,British_Columbia,Dawson_Creek,U5I_4F1,Female,Bachelor,88445,Married,Star,4277.27,Standard,2013-06
217,430569,Quebec,Montreal,H2T_9K8,Male,Bachelor,87462,Married,Star,4277.56,Standard,2016-10
218,317001,Ontario,Trenton,K8V_4B2,Male,Bachelor,61809,Married,Star,4282.95,Standard,2018-08
219,625870,Ontario,Toronto,P1J_8T7,Female,Bachelor,61809,Married,Star,4282.95,Standard,2013-08
220,660554,Alberta,Edmonton,T3G_6Y6,Female,Bachelor,61809,Married,Star,4282.95,Standard,2017-10
221,917630,Ontario,Toronto,P2T_6G3,Female,Bachelor,61809,Married,Star,4282.95,Standard,2016-12
222,670686,Ontario,Thunder_Bay,K8T_5M5,Female,College,79359,Single,Star,4291.06,Standard,2018-05
223,717660,British_Columbia,Vancouver,V1E_4R6,Male,College,79359,Single,Star,4293.01,Standard,2015-03
224,450621,Quebec,Montreal,H2Y_2W2,Female,Bachelor,77083,Married,Star,4296.6,Standard,2015-03
225,939562,Ontario,Toronto,M2Z_4K1,Female,Bachelor,95467,Married,Star,4297.02,Standard,2016-12
226,135250,Ontario,Thunder_Bay,K8T_5M5,Male,Bachelor,88089,Married,Star,4298.66,Standard,2013-08
227,714555,Ontario,Toronto,P2T_6G3,Male,Bachelor,64387,Divorced,Star,4299.84,Standard,2013-08
228,947868,Quebec,Tremblant,H5Y_2S9,Male,Bachelor,96733,Married,Star,4300.9,Standard,2012-05
229,573661,Quebec,Montreal,H2T_9K8,Female,Bachelor,86098,Single,Star,4303.64,Standard,2018-08
230,228580,Ontario,Toronto,M8Y_4K8,Male,Bachelor,54643,Single,Star,4305.79,Standard,2012-05
231,557500,Ontario,Toronto,M1R_4K3,Female,Bachelor,49606,Married,Star,4305.81,Standard,2015-11
232,238233,Ontario,Toronto,M2Z_4K1,Male,Bachelor,85577,Married,Star,4307.42,Standard,2017-04
233,979309,Quebec,Montreal,H2T_2J6,Male,Bachelor,63654,Single,Star,4312.77,Standard,2013-03
234,342483,Alberta,Calgary,T3E_2V9,Male,College,79359,Single,Aurora,23706.11,2018_Promotion,2018-03
235,833569,Saskatchewan,Regina,S6J_3G0,Female,College,79359,Single,Star,4314.07,Standard,2017-09
236,120046,New_Brunswick,Fredericton,E3B_2H2,Female,Bachelor,56411,Married,Star,4314.17,Standard,2017-07
237,816881,Quebec,Tremblant,H5Y_2S9,Male,Bachelor,56411,Married,Star,4314.17,Standard,2018-06
238,717700,British_Columbia,West_Vancouver,V6V_8Z3,Female,Bachelor,62093,Married,Star,4315.79,Standard,2015-09
239,384146,Alberta,Peace_River,T9O_2W2,Female,High_School_or_Below,48890,Married,Nova,2790.23,2018_Promotion,2018-04
240,245465,Ontario,Thunder_Bay,K8T_5M5,Male,Doctor,69818,Married,Star,4319.15,Standard,2015-08
241,510372,Ontario,Toronto,M2M_7K8,Female,College,79359,Divorced,Star,4322.24,Standard,2018-07
242,709920,British_Columbia,Dawson_Creek,U5I_4F1,Female,Bachelor,82427,Married,Star,4327.1,Standard,2013-01
243,156031,Quebec,Montreal,H2Y_4R4,Female,Bachelor,84981,Married,Star,4328.37,Standard,2014-12
244,143784,Quebec,Montreal,H2Y_2W2,Female,Bachelor,76159,Married,Star,4330.39,Standard,2013-01
245,602176,Quebec,Quebec_City,G1B_3L5,Female,Bachelor,76159,Married,Star,4330.39,Standard,2016-08
