CCAA,Tipo de equipamiento,Periodo,Total
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2023,"96,4"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2022,"96,1"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2021,"95,9"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2020,"95,3"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2019,"91,2"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2018,"86,1"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2017,"82,7"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2016,"81,2"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2015,"77,8"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2014,73
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2013,"68,8"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2012,"65,5"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2011,"60,8"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2010,"56,1"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2009,"50,3"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2008,"43,6"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2007,"38,2"
España,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2006,"28,5"
España,Viviendas con teléfono fijo,2024,"53,9"
España,Viviendas con teléfono fijo,2023,"57,5"
España,Viviendas con teléfono fijo,2022,"62,5"
España,Viviendas con teléfono fijo,2021,"67,2"
España,Viviendas con teléfono fijo,2020,"71,1"
España,Viviendas con teléfono fijo,2019,"74,9"
España,Viviendas con teléfono fijo,2018,"75,8"
España,Viviendas con teléfono fijo,2017,"77,6"
España,Viviendas con teléfono fijo,2016,"78,5"
España,Viviendas con teléfono fijo,2015,"78,4"
España,Viviendas con teléfono fijo,2014,"78,2"
España,Viviendas con teléfono fijo,2013,"77,9"
España,Viviendas con teléfono fijo,2012,"79,2"
España,Viviendas con teléfono fijo,2011,"80,1"
España,Viviendas con teléfono fijo,2010,"79,8"
España,Viviendas con teléfono fijo,2009,"79,8"
España,Viviendas con teléfono fijo,2008,"80,8"
España,Viviendas con teléfono fijo,2007,"80,7"
España,Viviendas con teléfono fijo,2006,"82,8"
España,Viviendas con teléfono móvil,2024,"99,5"
España,Viviendas con teléfono móvil,2023,"99,5"
España,Viviendas con teléfono móvil,2022,"99,5"
España,Viviendas con teléfono móvil,2021,"99,5"
España,Viviendas con teléfono móvil,2020,"99,5"
España,Viviendas con teléfono móvil,2019,"98,5"
España,Viviendas con teléfono móvil,2018,98
España,Viviendas con teléfono móvil,2017,"97,4"
España,Viviendas con teléfono móvil,2016,"96,7"
España,Viviendas con teléfono móvil,2015,"96,7"
España,Viviendas con teléfono móvil,2014,"96,4"
España,Viviendas con teléfono móvil,2013,"96,1"
España,Viviendas con teléfono móvil,2012,"95,6"
España,Viviendas con teléfono móvil,2011,"94,7"
España,Viviendas con teléfono móvil,2010,"94,2"
España,Viviendas con teléfono móvil,2009,93
España,Viviendas con teléfono móvil,2008,"91,4"
España,Viviendas con teléfono móvil,2007,90
España,Viviendas con teléfono móvil,2006,"87,2"
Andalucía,Viviendas con algún tipo de ordenador,2024,"80,7"
Andalucía,Viviendas con algún tipo de ordenador,2023,"79,1"
Andalucía,Viviendas con algún tipo de ordenador,2022,"78,4"
Andalucía,Viviendas con algún tipo de ordenador,2021,"78,6"
Andalucía,Viviendas con algún tipo de ordenador,2020,"76,8"
Andalucía,Viviendas con algún tipo de ordenador,2019,"76,8"
Andalucía,Viviendas con algún tipo de ordenador,2018,"74,4"
Andalucía,Viviendas con algún tipo de ordenador,2017,"74,3"
Andalucía,Viviendas con algún tipo de ordenador,2016,"73,2"
Andalucía,Viviendas con algún tipo de ordenador,2015,"71,4"
Andalucía,Viviendas con algún tipo de ordenador,2014,"71,6"
Andalucía,Viviendas con algún tipo de ordenador,2013,"71,1"
Andalucía,Viviendas con algún tipo de ordenador,2012,"71,2"
Andalucía,Viviendas con algún tipo de ordenador,2011,"68,1"
Andalucía,Viviendas con algún tipo de ordenador,2010,65
Andalucía,Viviendas con algún tipo de ordenador,2009,61
Andalucía,Viviendas con algún tipo de ordenador,2008,"57,6"
Andalucía,Viviendas con algún tipo de ordenador,2007,55
Andalucía,Viviendas con algún tipo de ordenador,2006,"50,6"
Andalucía,Viviendas que disponen de acceso a Internet,2024,"96,3"
Andalucía,Viviendas que disponen de acceso a Internet,2023,"95,9"
Andalucía,Viviendas que disponen de acceso a Internet,2022,"94,5"
Andalucía,Viviendas que disponen de acceso a Internet,2021,"94,5"
Andalucía,Viviendas que disponen de acceso a Internet,2020,"94,7"
Andalucía,Viviendas que disponen de acceso a Internet,2019,"89,7"
Andalucía,Viviendas que disponen de acceso a Internet,2018,"83,7"
Andalucía,Viviendas que disponen de acceso a Internet,2017,"81,7"
Andalucía,Viviendas que disponen de acceso a Internet,2016,"80,6"
Andalucía,Viviendas que disponen de acceso a Internet,2015,"76,4"
Andalucía,Viviendas que disponen de acceso a Internet,2014,"72,7"
Andalucía,Viviendas que disponen de acceso a Internet,2013,"66,3"
Andalucía,Viviendas que disponen de acceso a Internet,2012,"63,3"
Andalucía,Viviendas que disponen de acceso a Internet,2011,"58,2"
Andalucía,Viviendas que disponen de acceso a Internet,2010,"53,1"
Andalucía,Viviendas que disponen de acceso a Internet,2009,"47,3"
Andalucía,Viviendas que disponen de acceso a Internet,2008,"42,2"
Andalucía,Viviendas que disponen de acceso a Internet,2007,"37,5"
Andalucía,Viviendas que disponen de acceso a Internet,2006,"30,7"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2024,"96,3"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2023,"95,9"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2022,"94,5"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2021,"94,5"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2020,"94,6"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2019,"89,2"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2018,"83,5"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2017,81
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2016,"79,8"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2015,"75,2"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2014,"69,9"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2013,"65,8"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2012,"61,3"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2011,55
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2010,"51,5"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2009,"45,3"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2008,"37,5"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2007,"33,8"
Andalucía,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2006,"23,3"
Andalucía,Viviendas con teléfono fijo,2024,"45,9"
Andalucía,Viviendas con teléfono fijo,2023,"48,9"
Andalucía,Viviendas con teléfono fijo,2022,53
Andalucía,Viviendas con teléfono fijo,2021,"57,6"
Andalucía,Viviendas con teléfono fijo,2020,"61,8"
Andalucía,Viviendas con teléfono fijo,2019,"68,2"
Andalucía,Viviendas con teléfono fijo,2018,"66,8"
Andalucía,Viviendas con teléfono fijo,2017,"69,8"
Andalucía,Viviendas con teléfono fijo,2016,"73,5"
Andalucía,Viviendas con teléfono fijo,2015,"73,4"
Andalucía,Viviendas con teléfono fijo,2014,"71,6"
Andalucía,Viviendas con teléfono fijo,2013,"71,2"
Andalucía,Viviendas con teléfono fijo,2012,"73,5"
Andalucía,Viviendas con teléfono fijo,2011,"72,8"
Andalucía,Viviendas con teléfono fijo,2010,"72,9"
Andalucía,Viviendas con teléfono fijo,2009,"71,7"
Andalucía,Viviendas con teléfono fijo,2008,"73,2"
Andalucía,Viviendas con teléfono fijo,2007,"74,3"
Andalucía,Viviendas con teléfono fijo,2006,"75,3"
Andalucía,Viviendas con teléfono móvil,2024,"99,5"
Andalucía,Viviendas con teléfono móvil,2023,"99,5"
Andalucía,Viviendas con teléfono móvil,2022,"99,3"
Andalucía,Viviendas con teléfono móvil,2021,"99,9"
Andalucía,Viviendas con teléfono móvil,2020,"99,3"
Andalucía,Viviendas con teléfono móvil,2019,"98,1"
Andalucía,Viviendas con teléfono móvil,2018,"97,9"
Andalucía,Viviendas con teléfono móvil,2017,"96,9"
Andalucía,Viviendas con teléfono móvil,2016,95
Andalucía,Viviendas con teléfono móvil,2015,"95,2"
Andalucía,Viviendas con teléfono móvil,2014,"95,3"
Andalucía,Viviendas con teléfono móvil,2013,"95,4"
Andalucía,Viviendas con teléfono móvil,2012,"94,7"
Andalucía,Viviendas con teléfono móvil,2011,"93,3"
Andalucía,Viviendas con teléfono móvil,2010,93
Andalucía,Viviendas con teléfono móvil,2009,"91,6"
Andalucía,Viviendas con teléfono móvil,2008,"89,1"
Andalucía,Viviendas con teléfono móvil,2007,88
Andalucía,Viviendas con teléfono móvil,2006,"84,7"
Aragón,Viviendas con algún tipo de ordenador,2024,"84,4"
Aragón,Viviendas con algún tipo de ordenador,2023,"84,1"
Aragón,Viviendas con algún tipo de ordenador,2022,86
Aragón,Viviendas con algún tipo de ordenador,2021,"85,2"
Aragón,Viviendas con algún tipo de ordenador,2020,85
Aragón,Viviendas con algún tipo de ordenador,2019,"84,9"
Aragón,Viviendas con algún tipo de ordenador,2018,"83,2"
Aragón,Viviendas con algún tipo de ordenador,2017,"80,1"
Aragón,Viviendas con algún tipo de ordenador,2016,"76,8"
Aragón,Viviendas con algún tipo de ordenador,2015,"75,4"
Aragón,Viviendas con algún tipo de ordenador,2014,"74,4"
Aragón,Viviendas con algún tipo de ordenador,2013,"71,9"
Aragón,Viviendas con algún tipo de ordenador,2012,"71,9"
Aragón,Viviendas con algún tipo de ordenador,2011,"69,7"
Aragón,Viviendas con algún tipo de ordenador,2010,"68,3"
Aragón,Viviendas con algún tipo de ordenador,2009,"66,9"
Aragón,Viviendas con algún tipo de ordenador,2008,"63,2"
Aragón,Viviendas con algún tipo de ordenador,2007,"58,7"
Aragón,Viviendas con algún tipo de ordenador,2006,"55,7"
Aragón,Viviendas que disponen de acceso a Internet,2024,"97,4"
Aragón,Viviendas que disponen de acceso a Internet,2023,"97,5"
Aragón,Viviendas que disponen de acceso a Internet,2022,"98,2"
Aragón,Viviendas que disponen de acceso a Internet,2021,"96,3"
Aragón,Viviendas que disponen de acceso a Internet,2020,"96,3"
Aragón,Viviendas que disponen de acceso a Internet,2019,"92,1"
Aragón,Viviendas que disponen de acceso a Internet,2018,"88,7"
Aragón,Viviendas que disponen de acceso a Internet,2017,"84,9"
Aragón,Viviendas que disponen de acceso a Internet,2016,"81,6"
Aragón,Viviendas que disponen de acceso a Internet,2015,"77,2"
Aragón,Viviendas que disponen de acceso a Internet,2014,"70,5"
Aragón,Viviendas que disponen de acceso a Internet,2013,"67,6"
Aragón,Viviendas que disponen de acceso a Internet,2012,"66,5"
Aragón,Viviendas que disponen de acceso a Internet,2011,"61,8"
Aragón,Viviendas que disponen de acceso a Internet,2010,59
Aragón,Viviendas que disponen de acceso a Internet,2009,"52,9"
Aragón,Viviendas que disponen de acceso a Internet,2008,"50,9"
Aragón,Viviendas que disponen de acceso a Internet,2007,"46,6"
Aragón,Viviendas que disponen de acceso a Internet,2006,"38,8"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2024,"97,4"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2023,"97,5"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2022,"98,2"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2021,"96,3"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2020,96
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2019,"91,6"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2018,"88,4"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2017,"83,8"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2016,"80,2"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2015,"75,3"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2014,"69,7"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2013,67
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2012,"65,9"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2011,"60,9"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2010,"56,9"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2009,"49,6"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2008,"44,4"
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2007,39
Aragón,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2006,"28,3"
Aragón,Viviendas con teléfono fijo,2024,"63,7"
Aragón,Viviendas con teléfono fijo,2023,66
Aragón,Viviendas con teléfono fijo,2022,"71,6"
Aragón,Viviendas con teléfono fijo,2021,"74,9"
Aragón,Viviendas con teléfono fijo,2020,80
Aragón,Viviendas con teléfono fijo,2019,"81,8"
Aragón,Viviendas con teléfono fijo,2018,"83,9"
Aragón,Viviendas con teléfono fijo,2017,"84,9"
Aragón,Viviendas con teléfono fijo,2016,86
Aragón,Viviendas con teléfono fijo,2015,85
Aragón,Viviendas con teléfono fijo,2014,85
Aragón,Viviendas con teléfono fijo,2013,"82,5"
Aragón,Viviendas con teléfono fijo,2012,"84,5"
Aragón,Viviendas con teléfono fijo,2011,"85,1"
Aragón,Viviendas con teléfono fijo,2010,"84,6"
Aragón,Viviendas con teléfono fijo,2009,"87,5"
Aragón,Viviendas con teléfono fijo,2008,"89,7"
Aragón,Viviendas con teléfono fijo,2007,"88,7"
Aragón,Viviendas con teléfono fijo,2006,"89,6"
Aragón,Viviendas con teléfono móvil,2024,"99,6"
Aragón,Viviendas con teléfono móvil,2023,100
Aragón,Viviendas con teléfono móvil,2022,"99,7"
Aragón,Viviendas con teléfono móvil,2021,"99,9"
Aragón,Viviendas con teléfono móvil,2020,"99,7"
Aragón,Viviendas con teléfono móvil,2019,"98,7"
Aragón,Viviendas con teléfono móvil,2018,"98,1"
Aragón,Viviendas con teléfono móvil,2017,"97,5"
Aragón,Viviendas con teléfono móvil,2016,"98,3"
Aragón,Viviendas con teléfono móvil,2015,"97,4"
Aragón,Viviendas con teléfono móvil,2014,"95,7"
Aragón,Viviendas con teléfono móvil,2013,"96,2"
Aragón,Viviendas con teléfono móvil,2012,"95,5"
Aragón,Viviendas con teléfono móvil,2011,"93,4"
Aragón,Viviendas con teléfono móvil,2010,"94,7"
Aragón,Viviendas con teléfono móvil,2009,"90,2"
Aragón,Viviendas con teléfono móvil,2008,89
Aragón,Viviendas con teléfono móvil,2007,"89,4"
Aragón,Viviendas con teléfono móvil,2006,"84,6"
Principado de Asturias,Viviendas con algún tipo de ordenador,2024,"77,1"
Principado de Asturias,Viviendas con algún tipo de ordenador,2023,"81,1"
Principado de Asturias,Viviendas con algún tipo de ordenador,2022,"78,1"
Principado de Asturias,Viviendas con algún tipo de ordenador,2021,"81,3"
Principado de Asturias,Viviendas con algún tipo de ordenador,2020,"79,2"
Principado de Asturias,Viviendas con algún tipo de ordenador,2019,"79,5"
Principado de Asturias,Viviendas con algún tipo de ordenador,2018,"78,2"
Principado de Asturias,Viviendas con algún tipo de ordenador,2017,"75,9"
Principado de Asturias,Viviendas con algún tipo de ordenador,2016,74
Principado de Asturias,Viviendas con algún tipo de ordenador,2015,"73,9"
Principado de Asturias,Viviendas con algún tipo de ordenador,2014,71
Principado de Asturias,Viviendas con algún tipo de ordenador,2013,"73,3"
Principado de Asturias,Viviendas con algún tipo de ordenador,2012,"70,3"
Principado de Asturias,Viviendas con algún tipo de ordenador,2011,"66,9"
Principado de Asturias,Viviendas con algún tipo de ordenador,2010,"64,8"
Principado de Asturias,Viviendas con algún tipo de ordenador,2009,"62,3"
Principado de Asturias,Viviendas con algún tipo de ordenador,2008,"60,8"
Principado de Asturias,Viviendas con algún tipo de ordenador,2007,"57,1"
Principado de Asturias,Viviendas con algún tipo de ordenador,2006,"53,7"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2024,"93,8"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2023,"96,4"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2022,"94,3"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2021,"94,3"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2020,"93,4"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2019,"91,1"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2018,"85,9"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2017,"81,3"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2016,"79,7"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2015,"78,8"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2014,"72,8"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2013,"70,7"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2012,"65,5"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2011,"60,9"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2010,"57,3"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2009,"52,4"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2008,"50,9"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2007,"40,6"
Principado de Asturias,Viviendas que disponen de acceso a Internet,2006,"38,5"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2024,"93,8"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2023,"96,4"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2022,"94,3"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2021,"94,3"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2020,"93,2"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2019,"90,8"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2018,"85,1"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2017,"80,8"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2016,"79,2"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2015,"78,7"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2014,"72,2"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2013,"69,8"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2012,"65,1"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2011,"59,4"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2010,55
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2009,"48,6"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2008,"45,7"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2007,"37,3"
Principado de Asturias,"Viviendas con conexión de Banda Ancha (ADSL, Red de cable, etc.)",2006,"30,6"
Principado de Asturias,Viviendas con teléfono fijo,2024,"48,2"
Principado de Asturias,Viviendas con teléfono fijo,2023,"52,3"
Principado de Asturias,Viviendas con teléfono fijo,2022,"61,7"
Principado de Asturias,Viviendas con teléfono fijo,2021,"66,8"
Principado de Asturias,Viviendas con teléfono fijo,2020,"69,8"
Principado de Asturias,Viviendas con teléfono fijo,2019,"72,9"
Principado de Asturias,Viviendas con teléfono fijo,2018,"74,6"
Principado de Asturias,Viviendas con teléfono fijo,2017,"77,7"
Principado de Asturias,Viviendas con teléfono fijo,2016,"76,2"
Principado de Asturias,Viviendas con teléfono fijo,2015,"77,2"
Principado de Asturias,Viviendas con teléfono fijo,2014,"77,7"
Principado de Asturias,Viviendas con teléfono fijo,2013,80
Principado de Asturias,Viviendas con teléfono fijo,2012,"82,5"
Principado de Asturias,Viviendas con teléfono fijo,2011,80
Principado de Asturias,Viviendas con teléfono fijo,2010,83
Principado de Asturias,Viviendas con teléfono fijo,2009,83
Principado de Asturias,Viviendas con teléfono fijo,2008,"85,7"
Principado de Asturias,Viviendas con teléfono fijo,2007,"84,3"
Principado de Asturias,Viviendas con teléfono fijo,2006,"86,8"
Principado de Asturias,Viviendas con teléfono móvil,2024,"98,8"
Principado de Asturias,Viviendas con teléfono móvil,2023,"99,6"
Principado de Asturias,Viviendas con teléfono móvil,2022,"99,2"
Principado de Asturias,Viviendas con teléfono móvil,2021,"99,2"
Principado de Asturias,Viviendas con teléfono móvil,2020,99
Principado de Asturias,Viviendas con teléfono móvil,2019,"98,1"
Principado de Asturias,Viviendas con teléfono móvil,2018,"98,6"
Principado de Asturias,Viviendas con teléfono móvil,2017,"97,8"
Principado de Asturias,Viviendas con teléfono móvil,2016,"96,4"
Principado de Asturias,Viviendas con teléfono móvil,2015,"96,6"
Principado de Asturias,Viviendas con teléfono móvil,2014,97
Principado de Asturias,Viviendas con teléfono móvil,2013,"94,6"
Principado de Asturias,Viviendas con teléfono móvil,2012,"94,5"
Principado de Asturias,Viviendas con teléfono móvil,2011,"93,9"
Principado de Asturias,Viviendas con teléfono móvil,2010,"94,4"
Principado de Asturias,Viviendas con teléfono móvil,2009,"93,3"
Principado de Asturias,Viviendas con teléfono móvil,2008,"91,6"
Principado de Asturias,Viviendas con teléfono móvil,2007,"88,9"
Principado de Asturias,Viviendas con teléfono móvil,2006,"85,6"
Islas Baleares,Viviendas con algún tipo de ordenador,2024,"84,8"
Islas Baleares,Viviendas con algún tipo de ordenador,2023,"84,4"
Islas Baleares,Viviendas con algún tipo de ordenador,2022,"86,8"
Islas Baleares,Viviendas con algún tipo de ordenador,2021,"86,3"
Islas Baleares,Viviendas con algún tipo de ordenador,2020,"85,2"
Islas Baleares,Viviendas con algún tipo de ordenador,2019,"84,5"
Islas Baleares,Viviendas con algún tipo de ordenador,2018,"83,7"
Islas Baleares,Viviendas con algún tipo de ordenador,2017,84
Islas Baleares,Viviendas con algún tipo de ordenador,2016,"77,9"
Islas Baleares,Viviendas con algún tipo de ordenador,2015,"77,5"
Islas Baleares,Viviendas con algún tipo de ordenador,2014,"79,5"
Islas Baleares,Viviendas con algún tipo de ordenador,2013,"74,7"
Islas Baleares,Viviendas con algún tipo de ordenador,2012,"78,3"
Islas Baleares,Viviendas con algún tipo de ordenador,2011,"73,9"
Islas Baleares,Viviendas con algún tipo de ordenador,2010,"73,2"
Islas Baleares,Viviendas con algún tipo de ordenador,2009,"66,8"
Islas Baleares,Viviendas con algún tipo de ordenador,2008,"62,4"
Islas Baleares,Viviendas con algún tipo de ordenador,2007,"59,5"
Islas Baleares,Viviendas con algún tipo de ordenador,2006,"55,4"
Islas Baleares,Viviendas que disponen de acceso a Internet,2024,"97,7"
Islas Baleares,Viviendas que disponen de acceso a Internet,2023,"97,3"
Islas Baleares,Viviendas que disponen de acceso a Internet,2022,"97,5"
Islas Baleares,Viviendas que disponen de acceso a Internet,2021,"97,3"
Islas Baleares,Viviendas que disponen de acceso a Internet,2020,"95,6"
Islas Baleares,Viviendas que disponen de acceso a Internet,2019,"93,1"
Islas Baleares,Viviendas que disponen de acceso a Internet,2018,"90,8"
Islas Baleares,Viviendas que disponen de acceso a Internet,2017,"89,3"
Islas Baleares,Viviendas que disponen de acceso a Internet,2016,82
Islas Baleares,Viviendas que disponen de acceso a Internet,2015,80
Islas Baleares,Viviendas que disponen de acceso a Internet,2014,"78,4"
Islas Baleares,Viviendas que disponen de acceso a Internet,2013,"68,9"
Islas Baleares,Viviendas que disponen de acceso a Internet,2012,"72,8"
Islas Baleares,Viviendas que disponen de acceso a Internet,2011,"68,7"
