employee_turnover,business_travel_frequency,distance_from_home_km,education_level,environmental_satisfaction_level,gender,job_involvement_level,job_level,job_satisfaction_level,marital_status,num_companies_worked,overtime_hours,percent_salary_hike,standard_work_hours,stock_option_level,training_sessions_last_year,years_at_company,years_with_current_manager,birth_year,remote_work,total_years_worked,annual_salary,work_life_balance
no,travel_rarely,2.0,3,3.0,female,3,4,1,unknown,8,none,23,none,0,2,26,9,1977,no,28.0,53914.11,3.0
no,unknown,7.0,5,2.0,male,4,2,1,married,1,none,11,none,0,2,16,10,1988,no,10.0,53914.11,3.0
no,travel_rarely,15.0,3,1.0,female,2,3,3,unknown,1,none,13,none,2,2,18,12,1983,yes,18.0,53914.11,3.0
no,non_travel,1.0,1,3.0,male,2,3,3,unknown,3,none,23,full_time,1,3,23,4,1978,no,25.0,107480.0,2.0
no,unknown,1.0,2,1.0,female,3,3,4,single,1,yes,12,part_time,0,1,15,12,1990,yes,15.0,100071.84,3.0
no,unknown,8.0,3,3.0,female,3,3,3,divorced,1,none,13,none,3,2,17,8,1987,yes,17.0,100071.84,3.0
no,unknown,2.0,2,3.0,female,3,4,4,married,1,none,11,full_time,1,3,26,0,1976,no,10.0,167520.0,2.0
no,travel_rarely,7.0,2,3.0,male,3,2,4,unknown,1,none,14,full_time,1,1,18,11,1987,yes,18.0,62010.0,3.0
no,unknown,9.0,3,4.0,female,2,3,3,married,1,yes,20,part_time,1,2,17,15,1988,no,17.0,100071.84,3.0
yes,unknown,2.0,1,1.0,female,1,5,4,married,1,no,15,full_time,1,3,32,9,1971,yes,33.0,198450.0,3.0
no,unknown,2.0,4,3.0,female,3,2,2,single,9,yes,11,none,0,2,16,12,1987,no,18.0,53914.11,3.0
no,travel_rarely,28.0,4,2.0,male,3,2,3,married,1,none,12,part_time,1,3,15,7,1990,yes,15.0,53914.11,3.0
no,non_travel,10.0,3,4.0,male,3,2,3,unknown,1,yes,14,part_time,1,3,15,7,1989,yes,15.0,40010.0,3.0
no,unknown,7.0,1,3.0,female,3,3,3,divorced,0,none,13,full_time,1,3,22,5,1982,yes,10.0,104470.0,4.0
no,unknown,25.0,3,1.0,male,3,3,3,unknown,2,none,23,none,0,3,17,11,1976,yes,25.0,53914.11,3.0
no,travel_rarely,5.0,3,3.0,female,3,5,3,unknown,4,none,11,full_time,1,3,14,8,1970,yes,26.0,191324.62,2.0
no,unknown,1.0,4,3.0,male,2,2,1,single,0,no,14,part_time,0,2,15,8,1988,no,16.0,53914.11,3.0
no,travel_rarely,6.0,4,1.0,female,3,2,3,single,1,none,14,none,0,3,16,10,1989,yes,16.0,53914.11,3.0
no,travel_rarely,1.0,2,2.0,female,3,3,1,divorced,1,no,25,part_time,3,2,24,7,1977,yes,24.0,100071.84,3.0
no,unknown,16.0,3,4.0,female,3,4,4,married,5,none,22,full_time,1,3,17,9,1980,yes,22.0,160640.0,3.0
no,unknown,6.0,3,4.0,male,3,1,4,married,0,none,11,full_time,1,4,15,11,1987,yes,16.0,32100.0,3.0
no,travel_frequently,28.0,3,3.0,female,2,3,1,married,4,no,19,full_time,0,5,18,11,1963,yes,22.0,102660.0,4.0
no,travel_frequently,5.0,4,4.0,male,2,3,1,married,5,yes,21,full_time,1,2,18,12,1983,no,20.0,104750.0,3.0
no,travel_rarely,4.0,3,3.0,female,2,2,3,married,1,no,12,full_time,1,3,14,8,1991,no,14.0,61620.0,3.0
no,travel_rarely,7.0,3,3.0,male,3,1,1,single,2,yes,13,full_time,0,3,18,17,1982,yes,20.0,47210.0,3.0
no,unknown,2.0,2,3.0,male,3,4,3,divorced,6,no,13,full_time,1,3,17,2,1970,no,22.0,153407.07,4.0
yes,travel_rarely,16.0,4,3.0,female,4,1,1,single,1,none,16,part_time,0,1,17,14,1987,yes,18.0,28111.13,3.0
no,unknown,8.0,4,4.0,female,2,2,1,divorced,8,yes,23,part_time,3,2,16,7,1977,no,10.0,46150.0,3.0
no,travel_rarely,1.0,4,4.0,male,3,2,2,married,0,no,15,none,2,3,15,8,1985,yes,16.0,53914.11,3.0
no,unknown,1.0,4,1.0,female,2,3,1,single,3,none,20,part_time,0,1,13,8,1972,yes,23.0,100071.84,2.0
no,unknown,26.0,2,3.0,male,3,4,4,married,1,yes,12,full_time,2,3,25,12,1980,yes,25.0,169590.0,4.0
no,unknown,1.0,3,4.0,female,3,1,4,single,1,no,12,part_time,0,3,17,7,1986,yes,10.0,28111.13,3.0
no,travel_rarely,8.0,2,3.0,female,2,2,2,married,1,yes,11,part_time,0,2,13,9,1991,yes,10.0,53914.11,3.0
no,unknown,1.0,3,4.0,female,3,3,1,married,1,none,13,part_time,1,3,15,11,1985,no,15.0,100071.84,3.0
no,unknown,3.0,3,3.0,female,3,4,2,unknown,8,no,12,full_time,1,2,13,1,1977,yes,23.0,153407.07,4.0
yes,travel_rarely,10.0,3,4.0,male,2,3,1,married,9,none,17,none,0,3,13,0,1988,no,15.0,53914.11,3.0
no,unknown,6.0,3,1.0,female,2,5,3,married,7,no,13,none,0,2,16,14,1980,yes,21.0,53914.11,3.0
no,non_travel,1.0,4,3.0,male,3,2,3,divorced,1,no,21,none,1,2,13,9,1967,yes,10.0,53914.11,2.0
no,non_travel,15.0,4,4.0,male,1,2,4,divorced,1,no,24,full_time,1,4,15,11,1987,yes,10.0,54060.0,2.0
no,unknown,6.0,3,2.0,female,1,2,4,unknown,7,none,12,part_time,3,3,13,9,1985,yes,17.0,53914.11,3.0
no,unknown,7.0,4,3.0,female,3,2,1,unknown,1,no,14,part_time,0,2,15,11,1974,no,16.0,53914.11,2.0
no,travel_rarely,4.0,4,4.0,female,2,2,3,married,4,none,14,full_time,1,1,15,9,1984,yes,17.0,59020.0,4.0
no,unknown,4.0,4,3.0,male,2,3,4,married,7,no,11,full_time,1,2,12,11,1983,yes,15.0,108550.0,2.0
no,unknown,5.0,2,4.0,male,3,2,2,single,8,no,16,full_time,0,3,13,7,1987,yes,16.0,59140.0,4.0
no,unknown,25.0,5,2.0,female,3,2,3,married,3,yes,15,none,2,2,13,7,1986,no,15.0,53914.11,3.0
no,unknown,6.0,4,2.0,male,1,2,4,unknown,1,none,13,full_time,0,3,17,8,1988,yes,10.0,66460.0,3.0
no,travel_frequently,6.0,3,3.0,male,3,2,4,divorced,3,no,23,part_time,1,2,13,7,1990,no,15.0,53914.11,1.0
no,travel_rarely,24.0,3,4.0,male,3,4,3,married,3,yes,18,full_time,1,2,12,5,1973,no,22.0,139730.0,3.0
no,travel_rarely,4.0,4,3.0,male,2,3,3,single,7,none,14,part_time,0,3,15,8,1975,yes,27.0,100071.84,3.0
no,travel_rarely,28.0,3,4.0,female,4,4,4,married,3,none,18,none,1,2,12,11,1979,yes,10.0,53914.11,3.0
no,travel_rarely,29.0,4,4.0,male,3,2,4,single,1,none,25,part_time,0,3,20,17,1979,yes,10.0,53914.11,3.0
no,unknown,7.0,1,3.0,female,4,2,3,unknown,5,no,20,part_time,3,0,12,8,1983,yes,15.0,53914.11,3.0
no,travel_rarely,2.0,4,3.0,female,3,2,4,single,1,none,11,full_time,0,2,14,11,1989,yes,14.0,66870.0,4.0
no,non_travel,8.0,4,3.0,female,3,2,3,unknown,1,none,12,part_time,1,5,14,9,1988,yes,10.0,53914.11,3.0
no,unknown,17.0,5,4.0,female,2,3,1,unknown,5,no,15,part_time,3,3,14,11,1973,no,10.0,100071.84,3.0
no,unknown,6.0,1,3.0,female,2,4,3,unknown,2,none,19,full_time,1,3,15,12,1974,yes,10.0,153407.07,3.0
no,travel_frequently,1.0,3,4.0,male,3,2,4,unknown,7,no,15,part_time,2,4,13,9,1985,yes,19.0,47350.0,3.0
no,unknown,21.0,3,2.0,male,4,1,2,unknown,1,no,18,part_time,3,6,14,13,1990,yes,14.0,28111.13,3.0
no,travel_rarely,4.0,3,3.0,female,2,3,2,divorced,8,yes,12,part_time,1,4,22,10,1976,yes,10.0,100071.84,3.0
no,unknown,8.0,3,4.0,female,2,2,2,divorced,1,none,16,none,1,3,20,7,1985,no,20.0,53914.11,3.0
no,travel_rarely,10.0,3,3.0,female,4,3,4,unknown,1,yes,25,part_time,1,2,16,8,1986,yes,16.0,100071.84,3.0
no,unknown,2.0,3,3.0,male,2,2,4,married,1,no,19,part_time,3,3,11,8,1993,yes,11.0,53914.11,3.0
no,travel_rarely,7.0,4,4.0,male,3,4,3,single,0,none,13,full_time,0,1,37,8,1965,yes,38.0,138720.0,2.0
no,travel_rarely,5.0,3,3.0,female,2,3,1,single,2,none,12,none,0,6,11,8,1989,no,14.0,53914.11,3.0
yes,travel_rarely,23.0,4,4.0,female,3,3,4,married,1,none,12,part_time,1,3,40,6,1965,yes,40.0,100071.84,2.0
no,unknown,3.0,3,1.0,male,3,3,3,divorced,0,none,12,none,2,6,16,13,1985,yes,10.0,53914.11,2.0
no,travel_frequently,1.0,1,2.0,female,3,3,4,married,1,none,14,part_time,1,5,11,1,1994,yes,11.0,100071.84,3.0
no,travel_rarely,1.0,3,4.0,male,3,5,1,single,0,none,14,full_time,0,2,36,13,1968,yes,37.0,190450.0,3.0
no,unknown,7.0,4,4.0,male,3,4,2,unknown,1,none,19,none,0,2,22,4,1982,yes,10.0,53914.11,3.0
no,travel_rarely,1.0,3,3.0,male,4,3,4,unknown,0,no,17,part_time,3,5,18,7,1984,no,19.0,96130.0,2.0
no,unknown,15.0,2,3.0,male,2,3,4,unknown,0,none,14,full_time,1,3,11,9,1985,yes,10.0,115100.0,3.0
no,unknown,12.0,3,1.0,male,2,4,2,unknown,1,no,11,full_time,1,3,25,9,1980,yes,10.0,153407.07,3.0
no,unknown,7.0,2,2.0,female,3,2,1,married,1,no,12,none,1,5,13,12,1992,yes,13.0,53914.11,1.0
no,travel_rarely,7.0,4,3.0,male,2,4,3,married,0,no,15,full_time,1,2,27,7,1973,yes,28.0,170460.0,3.0
no,unknown,25.0,3,4.0,male,2,3,2,married,3,no,16,part_time,0,2,13,8,1988,no,10.0,100071.84,3.0
no,unknown,16.0,4,3.0,male,4,2,3,unknown,1,yes,19,none,0,3,19,7,1976,yes,20.0,53914.11,3.0
no,unknown,25.0,4,3.0,female,3,3,3,divorced,1,yes,11,part_time,1,3,16,1,1988,yes,10.0,100071.84,2.0
no,travel_rarely,20.0,4,1.0,male,3,3,4,married,4,none,20,part_time,1,6,11,1,1983,yes,14.0,100071.84,3.0
no,unknown,9.0,4,2.0,female,2,2,3,married,1,none,13,part_time,1,2,15,12,1978,no,15.0,53914.11,3.0
no,unknown,9.0,3,1.0,male,3,1,4,married,0,none,13,none,1,5,14,10,1990,no,15.0,28111.13,3.0
no,travel_frequently,3.0,3,3.0,male,3,1,2,married,1,no,12,full_time,0,2,11,7,1987,no,12.0,36920.0,2.0
yes,unknown,7.0,3,1.0,female,1,5,2,unknown,2,yes,16,full_time,0,2,24,11,1978,yes,26.0,191324.62,3.0
no,travel_frequently,7.0,3,3.0,male,3,5,2,unknown,4,yes,24,full_time,1,5,29,10,1972,no,10.0,198470.0,2.0
no,travel_rarely,7.0,2,2.0,male,3,1,3,unknown,0,yes,25,part_time,1,4,11,7,1989,no,12.0,23080.0,3.0
no,travel_rarely,15.0,2,3.0,male,2,4,3,unknown,1,no,24,full_time,1,3,14,11,1980,yes,10.0,153407.07,3.0
no,unknown,5.0,2,2.0,male,2,2,4,unknown,1,no,14,part_time,1,3,15,13,1989,no,10.0,53914.11,3.0
no,unknown,2.0,3,1.0,male,3,1,2,divorced,5,no,13,part_time,3,3,11,8,1985,yes,13.0,28111.13,3.0
no,unknown,10.0,3,4.0,male,2,5,2,unknown,4,no,12,full_time,0,3,22,9,1975,no,29.0,191324.62,3.0
no,unknown,22.0,4,3.0,male,2,2,4,married,1,yes,15,full_time,0,3,15,11,1989,no,16.0,57470.0,3.0
no,travel_rarely,7.0,4,3.0,female,3,3,4,unknown,1,no,19,full_time,2,3,14,7,1991,yes,14.0,104220.0,3.0
no,travel_rarely,21.0,4,2.0,female,4,3,1,divorced,1,no,11,none,1,1,10,8,1994,no,10.0,53914.11,3.0
no,unknown,1.0,3,3.0,male,2,3,1,married,2,yes,13,none,1,5,10,5,1977,no,21.0,100071.84,2.0
no,unknown,9.0,3,3.0,male,3,2,4,married,0,yes,19,full_time,0,2,11,7,1993,no,10.0,63470.0,1.0
no,unknown,9.0,3,2.0,male,3,2,2,unknown,8,no,18,part_time,1,2,17,15,1978,yes,20.0,23480.0,3.0
no,travel_rarely,5.0,3,2.0,female,3,3,4,unknown,2,no,12,part_time,1,2,10,4,1993,yes,10.0,100071.84,3.0
no,unknown,9.0,3,3.0,male,3,2,1,unknown,1,no,11,part_time,2,4,12,10,1993,yes,12.0,30720.0,3.0
no,travel_frequently,7.0,1,4.0,male,2,2,3,married,1,none,17,none,0,2,10,9,1989,no,10.0,53914.11,2.0
no,travel_rarely,8.0,4,2.0,male,2,3,2,married,5,no,16,full_time,2,5,10,7,1972,no,16.0,124900.0,1.0
no,unknown,7.0,4,3.0,male,2,2,1,unknown,6,none,13,part_time,1,3,11,9,1989,yes,13.0,53914.11,3.0
no,travel_rarely,16.0,3,3.0,male,3,3,2,married,0,none,15,part_time,2,3,11,9,1988,yes,12.0,80200.0,2.0
no,travel_frequently,7.0,3,1.0,male,3,3,1,unknown,1,none,18,part_time,1,2,24,11,1978,yes,24.0,100071.84,3.0
no,unknown,10.0,1,3.0,male,3,4,1,married,1,none,14,full_time,0,3,21,10,1984,yes,21.0,170680.0,3.0
no,unknown,7.0,2,3.0,female,2,3,3,married,1,no,24,part_time,1,2,10,9,1992,no,10.0,89430.0,3.0
no,unknown,7.0,2,3.0,male,2,5,4,married,1,none,15,full_time,1,2,21,3,1984,yes,10.0,192720.0,3.0
no,travel_rarely,8.0,4,4.0,male,3,2,4,unknown,9,no,14,part_time,2,3,10,8,1978,yes,12.0,53914.11,3.0
no,travel_rarely,5.0,3,4.0,female,2,2,3,unknown,1,none,13,none,3,2,10,2,1993,yes,10.0,53914.11,3.0
no,unknown,7.0,4,3.0,female,3,3,4,unknown,1,none,14,part_time,0,2,11,10,1992,no,11.0,100071.84,2.0
no,unknown,3.0,4,1.0,male,2,3,4,married,4,no,11,part_time,1,2,13,12,1987,yes,16.0,100071.84,3.0
no,travel_rarely,2.0,2,2.0,male,2,3,3,married,1,none,13,part_time,2,2,10,0,1987,yes,10.0,100071.84,3.0
no,travel_rarely,18.0,5,1.0,female,3,4,2,single,3,no,23,full_time,0,2,10,7,1968,yes,37.0,153407.07,3.0
no,unknown,1.0,3,2.0,male,3,2,3,unknown,9,none,11,part_time,0,2,11,9,1988,yes,15.0,53914.11,3.0
no,travel_rarely,24.0,3,4.0,male,3,3,1,married,1,none,21,part_time,1,5,10,8,1981,no,10.0,100071.84,2.0
no,travel_rarely,6.0,2,4.0,male,3,2,1,divorced,3,yes,12,full_time,2,3,10,9,1971,yes,18.0,55770.0,3.0
no,unknown,18.0,4,4.0,male,2,5,3,unknown,1,yes,17,full_time,1,5,31,9,1974,yes,10.0,191324.62,3.0
no,travel_rarely,1.0,5,2.0,male,3,1,4,married,1,no,12,part_time,1,4,10,8,1989,yes,10.0,26910.0,2.0
yes,travel_rarely,1.0,4,4.0,male,3,1,4,single,1,none,13,part_time,0,2,10,8,1990,no,10.0,28111.13,2.0
no,unknown,7.0,3,3.0,male,3,3,3,married,0,no,11,none,0,3,13,7,1990,yes,10.0,53914.11,4.0
no,travel_rarely,23.0,4,4.0,female,3,4,4,unknown,6,no,18,full_time,0,0,12,8,1970,yes,33.0,153407.07,3.0
no,travel_rarely,8.0,2,1.0,female,3,3,2,married,4,none,11,part_time,1,3,26,7,1974,no,29.0,74030.0,2.0
no,unknown,7.0,4,3.0,male,3,3,4,unknown,6,none,13,part_time,1,2,10,8,1988,no,10.0,100071.84,3.0
no,travel_rarely,17.0,1,3.0,female,2,3,3,married,0,none,18,part_time,1,4,19,9,1985,no,20.0,88230.0,2.0
no,unknown,3.0,1,1.0,male,3,4,3,married,3,no,12,full_time,1,3,12,9,1977,no,10.0,153407.07,3.0
no,non_travel,18.0,4,1.0,male,3,2,4,single,2,none,20,part_time,0,0,11,9,1987,no,18.0,53914.11,3.0
yes,travel_frequently,7.0,3,3.0,male,3,4,1,single,0,none,12,full_time,0,2,21,14,1981,yes,10.0,153407.07,2.0
no,travel_frequently,1.0,3,4.0,male,2,2,1,single,0,no,20,none,0,3,13,9,1989,yes,14.0,53914.11,3.0
no,travel_rarely,1.0,3,4.0,male,3,1,2,unknown,0,yes,21,none,1,2,11,7,1993,yes,12.0,35790.0,3.0
no,travel_rarely,3.0,3,4.0,male,3,4,4,married,3,no,14,full_time,0,2,10,9,1969,yes,36.0,177790.0,3.0
no,travel_rarely,24.0,3,3.0,female,2,2,1,single,1,no,19,part_time,0,2,10,8,1992,no,10.0,53914.11,3.0
no,unknown,5.0,3,2.0,male,3,5,2,married,7,no,11,full_time,1,5,22,10,1979,yes,26.0,182130.0,3.0
no,non_travel,8.0,1,4.0,male,2,4,2,divorced,1,yes,15,full_time,1,3,33,0,1968,no,10.0,135770.0,3.0
no,travel_rarely,4.0,2,3.0,male,4,5,1,divorced,1,no,14,full_time,2,4,25,13,1979,no,10.0,191900.0,2.0
no,travel_frequently,11.0,3,3.0,male,2,2,2,unknown,4,no,11,none,2,5,10,8,1989,yes,14.0,53914.11,4.0
no,unknown,13.0,4,3.0,female,2,4,2,divorced,6,yes,13,full_time,2,4,19,2,1984,no,10.0,171230.0,3.0
no,travel_rarely,2.0,2,4.0,female,1,5,3,unknown,4,none,14,full_time,1,5,19,11,1968,yes,23.0,191870.0,3.0
no,unknown,5.0,3,3.0,male,3,4,2,unknown,1,none,11,full_time,1,2,33,10,1972,yes,10.0,153407.07,3.0
yes,unknown,7.0,4,3.0,female,2,3,1,married,7,none,14,none,0,0,10,9,1965,yes,10.0,53914.11,2.0
no,unknown,4.0,3,4.0,male,3,3,4,single,1,no,11,part_time,0,2,10,8,1975,yes,11.0,100071.84,3.0
no,travel_rarely,17.0,3,2.0,male,2,3,1,single,1,none,13,part_time,0,3,10,9,1994,no,10.0,79880.0,2.0
no,unknown,3.0,3,4.0,male,1,2,1,single,3,no,18,part_time,0,2,13,12,1989,yes,15.0,53914.11,3.0
no,travel_frequently,9.0,2,1.0,female,3,1,4,unknown,1,none,13,none,0,3,12,8,1981,yes,12.0,53914.11,3.0
no,travel_rarely,1.0,2,2.0,male,4,2,3,married,0,no,24,part_time,1,2,12,8,1966,yes,13.0,53914.11,2.0
yes,travel_rarely,24.0,4,1.0,female,2,2,2,single,0,yes,23,part_time,0,2,15,10,1989,no,16.0,53914.11,4.0
no,travel_frequently,11.0,4,2.0,female,3,4,4,unknown,3,no,20,none,1,2,14,12,1969,yes,26.0,53914.11,3.0
no,travel_rarely,1.0,3,4.0,male,2,3,3,unknown,1,none,14,part_time,0,3,10,6,1989,no,10.0,70830.0,3.0
no,unknown,3.0,1,2.0,male,3,1,1,single,1,none,18,none,0,3,10,5,1994,yes,10.0,53914.11,3.0
no,travel_rarely,28.0,3,2.0,male,4,2,3,unknown,1,none,17,part_time,2,3,10,8,1988,yes,10.0,34070.0,2.0
yes,unknown,12.0,4,4.0,male,3,2,4,unknown,3,none,24,part_time,0,2,11,7,1988,yes,13.0,53914.11,4.0
no,travel_rarely,19.0,3,2.0,female,2,1,4,married,1,no,12,full_time,0,3,10,7,1989,yes,10.0,29290.0,3.0
no,unknown,2.0,3,4.0,male,3,2,4,unknown,1,yes,17,part_time,1,3,10,8,1980,no,10.0,53914.11,3.0
no,non_travel,2.0,3,2.0,male,3,4,2,divorced,4,no,22,full_time,1,0,16,14,1965,yes,37.0,153407.07,2.0
no,travel_rarely,7.0,4,3.0,female,2,2,3,married,1,yes,13,part_time,1,4,10,7,1987,no,10.0,53914.11,3.0
no,travel_rarely,11.0,3,1.0,male,3,3,3,married,1,none,17,part_time,1,1,10,9,1980,yes,10.0,100071.84,3.0
no,unknown,26.0,4,3.0,male,4,5,2,married,4,yes,18,full_time,1,0,10,4,1968,yes,35.0,191324.62,3.0
no,unknown,23.0,2,4.0,male,2,2,3,single,1,none,12,none,0,2,20,7,1981,yes,20.0,53914.11,3.0
no,unknown,11.0,3,4.0,female,3,2,3,married,1,none,11,none,1,2,10,4,1983,yes,10.0,53914.11,4.0
yes,unknown,7.0,2,4.0,male,3,1,3,married,8,no,11,part_time,1,4,10,8,1967,yes,14.0,28111.13,1.0
no,travel_rarely,7.0,1,3.0,female,2,4,4,unknown,0,none,11,full_time,1,2,20,6,1984,yes,10.0,120310.0,2.0
no,travel_rarely,2.0,4,1.0,female,2,4,4,married,2,no,16,full_time,0,3,25,7,1970,yes,10.0,154270.0,3.0
no,travel_frequently,8.0,3,4.0,male,3,3,3,single,1,no,15,none,0,0,9,7,1996,no,9.0,53914.11,3.0
no,travel_frequently,1.0,2,3.0,female,3,2,4,unknown,1,none,23,part_time,0,2,12,7,1993,yes,12.0,53914.11,3.0
no,unknown,18.0,5,2.0,male,3,3,1,married,1,none,22,none,1,3,9,8,1988,yes,9.0,53914.11,2.0
no,travel_rarely,1.0,3,1.0,male,3,2,4,married,1,yes,22,none,1,3,9,8,1991,yes,9.0,61620.0,3.0
no,travel_rarely,1.0,1,4.0,male,2,2,4,married,1,none,12,part_time,2,1,10,0,1993,no,10.0,51260.0,3.0
yes,unknown,9.0,2,3.0,male,2,3,4,unknown,1,no,16,part_time,0,3,9,7,1977,no,9.0,96190.0,3.0
no,travel_rarely,4.0,2,3.0,female,2,2,2,unknown,1,yes,12,part_time,3,4,11,7,1993,no,11.0,53914.11,2.0
no,unknown,6.0,4,2.0,male,3,2,3,single,1,no,16,none,0,0,11,7,1991,yes,12.0,53914.11,3.0
no,travel_rarely,7.0,5,3.0,male,3,3,2,married,1,none,13,part_time,2,3,10,6,1988,no,10.0,100071.84,3.0
no,unknown,8.0,3,2.0,female,3,3,4,single,1,none,14,part_time,0,2,9,7,1991,yes,9.0,100071.84,3.0
no,travel_rarely,7.0,3,1.0,male,3,1,3,divorced,4,no,12,part_time,1,2,9,8,1982,yes,10.0,28111.13,3.0
no,travel_rarely,4.0,1,4.0,female,3,5,3,unknown,1,no,14,full_time,1,2,20,9,1983,no,21.0,190330.0,3.0
no,unknown,2.0,2,1.0,male,2,4,4,married,9,no,23,none,1,1,20,8,1978,yes,22.0,53914.11,3.0
yes,travel_rarely,4.0,4,4.0,male,1,3,4,married,1,no,11,full_time,0,2,14,8,1991,no,14.0,104000.0,2.0
no,non_travel,1.0,1,3.0,male,2,3,3,unknown,1,no,22,part_time,0,2,11,8,1993,yes,10.0,100071.84,3.0
no,unknown,11.0,3,2.0,male,3,3,4,unknown,1,none,14,part_time,3,1,10,7,1986,yes,10.0,100071.84,3.0
no,unknown,4.0,4,1.0,male,3,1,4,divorced,4,no,17,none,1,2,9,8,1986,no,13.0,53914.11,3.0
no,unknown,24.0,2,1.0,male,3,2,4,unknown,1,no,17,none,2,3,9,7,1983,no,10.0,53914.11,3.0
no,non_travel,24.0,4,2.0,female,3,2,2,married,7,none,15,full_time,1,3,9,8,1987,yes,11.0,56740.0,3.0
no,travel_rarely,7.0,3,4.0,male,2,2,3,married,1,none,14,part_time,1,3,13,8,1991,yes,13.0,53914.11,2.0
no,unknown,25.0,2,1.0,female,2,3,2,unknown,3,none,17,part_time,1,2,10,1,1985,yes,10.0,100071.84,3.0
no,travel_rarely,28.0,2,4.0,female,3,2,4,married,1,no,13,part_time,2,2,10,9,1993,yes,11.0,53914.11,3.0
no,unknown,1.0,1,2.0,male,3,5,3,unknown,1,none,14,full_time,1,3,21,6,1984,yes,21.0,191970.0,3.0
no,unknown,7.0,3,1.0,female,3,5,1,unknown,5,no,11,full_time,0,5,29,10,1963,yes,33.0,191324.62,1.0
no,unknown,22.0,4,3.0,female,3,3,1,unknown,0,none,11,part_time,0,3,9,8,1993,yes,10.0,84120.0,3.0
no,travel_rarely,9.0,1,3.0,male,3,3,2,divorced,1,no,25,part_time,1,6,13,8,1992,yes,10.0,100071.84,4.0
yes,unknown,3.0,3,1.0,male,3,1,1,single,1,yes,11,full_time,0,3,10,7,1990,no,10.0,33480.0,3.0
no,unknown,28.0,1,4.0,male,4,1,3,married,1,yes,11,none,3,3,20,8,1973,yes,20.0,53914.11,3.0
no,unknown,24.0,4,1.0,male,3,2,4,unknown,1,no,15,part_time,2,2,10,7,1991,yes,10.0,53090.0,3.0
no,unknown,29.0,3,2.0,male,3,2,2,unknown,1,none,13,none,1,3,9,8,1981,yes,10.0,53914.11,2.0
yes,unknown,11.0,3,3.0,female,3,3,4,married,1,no,18,part_time,2,3,9,7,1974,no,10.0,76540.0,4.0
no,unknown,5.0,1,3.0,male,2,3,4,divorced,1,none,16,full_time,1,3,9,8,1996,yes,10.0,128080.0,3.0
no,travel_rarely,1.0,3,1.0,male,4,2,1,divorced,1,none,22,part_time,1,5,9,8,1990,yes,9.0,53914.11,3.0
no,unknown,7.0,4,3.0,female,2,4,4,married,3,no,22,full_time,0,3,9,0,1971,no,31.0,153407.07,3.0
no,unknown,5.0,2,2.0,male,3,2,2,unknown,1,no,14,part_time,1,3,10,3,1991,yes,10.0,53914.11,3.0
