age,employee_turnover,business_travel_frequency,daily_rate,distance_from_home_km,education_level,education_field,remove_column,employee_id,environmental_satisfaction_level,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction_level,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,percent_salary_hike,relationship_satisfaction_level,stock_option_level,training_sessions_last_year,years_at_company,years_since_last_promotion,years_with_current_manager,birth_year,overtime_hours,performance_rating,standard_work_hours,total_years_worked,work_life_balance,same_as_monthly_income,annual_salary,remote_work
41,yes,travel_rarely,2016.55,12.0,3,nan,1,14,2.0,female,,3,5,research_director,3,married,,42347.5,1,,12,4,0,0,22,15,8,1982,no,3,full_time,,3,,195450.0,no
55,no,nan,1973.98,14.0,4,medical,1,15,3.0,male,,4,5,research_director,2,single,15943.72,41453.67,8,,11,4,0,3,24,2,15,1968,no,3,none,,3,15943.72,,yes
40,no,travel_rarely,1861.37,2.0,4,nan,1,16,3.0,female,,3,5,manager,3,nan,15034.17,39088.83,0,,14,4,0,2,20,1,12,1983,no,3,full_time,,3,15034.17,180410.0,no
58,yes,travel_rarely,1985.7,2.0,4,nan,1,17,4.0,male,,3,5,research_director,2,single,16038.33,41699.67,7,,12,4,0,2,31,13,8,1965,yes,3,full_time,40,3,16038.33,192460.0,no
46,no,travel_rarely,1582.77,2.0,3,nan,1,18,3.0,female,,3,4,manager,1,nan,12783.92,33238.2,8,,23,1,0,2,26,15,9,1977,none,4,none,28,3,12783.92,,no
35,no,nan,556.26,,5,life_sciences,1,19,2.0,male,,4,2,research_scientist,1,married,4492.84,11681.39,1,,11,4,0,2,16,1,10,1988,none,3,none,,3,4492.84,,no
40,no,travel_rarely,1032.49,15.0,3,life_sciences,1,20,1.0,female,,2,3,manufacturing_director,3,nan,8339.32,21682.23,1,,13,4,2,2,18,14,12,1983,none,3,none,18,,8339.32,,yes
45,no,non_travel,1108.92,1.0,1,nan,1,21,3.0,male,,2,3,healthcare_representative,3,nan,8956.67,23287.33,3,,23,4,1,3,23,14,4,1978,none,4,full_time,25,2,8956.67,107480.0,no
33,no,nan,1032.49,1.0,2,life_sciences,1,22,1.0,female,,3,3,research_director,4,single,,21682.23,1,,12,3,0,1,15,8,12,1990,yes,3,part_time,15,3,,100071.84,yes
36,no,nan,1032.49,8.0,3,nan,1,23,3.0,female,,3,3,healthcare_representative,3,divorced,,21682.23,1,,13,2,3,2,17,12,8,1987,none,,none,17,3,,100071.84,yes
47,no,nan,1728.38,2.0,2,other,1,24,3.0,female,216.05,3,4,manager,4,married,,36296.0,1,,11,3,1,3,26,3,0,1976,none,3,full_time,,2,,167520.0,no
36,no,travel_rarely,639.79,,2,life_sciences,1,25,,male,79.97,3,2,sales_executive,4,nan,5167.5,13435.5,1,,14,4,1,1,18,4,11,1987,none,3,full_time,18,,5167.5,62010.0,yes
35,no,nan,1032.49,9.0,3,life_sciences,1,26,4.0,female,129.06,2,3,manufacturing_director,3,married,,21682.23,1,,20,2,1,2,17,5,15,1988,yes,4,part_time,17,3,,100071.84,no
52,yes,nan,2047.5,2.0,1,nan,1,27,1.0,female,,1,5,manager,4,married,,42997.5,1,,15,4,1,3,32,6,9,1971,no,3,full_time,33,3,,198450.0,yes
36,no,nan,556.26,2.0,4,life_sciences,1,28,3.0,female,,3,2,manufacturing_director,2,single,4492.84,11681.39,9,,11,4,0,2,16,5,12,1987,yes,3,none,18,3,4492.84,53914.11,no
33,no,travel_rarely,556.26,28.0,4,life_sciences,1,29,2.0,male,69.53,3,2,laboratory_technician,3,married,4492.84,11681.39,1,,12,2,1,3,15,5,7,1990,none,3,part_time,15,3,4492.84,53914.11,yes
34,no,non_travel,412.8,10.0,3,life_sciences,1,30,4.0,male,,3,2,sales_executive,3,nan,3334.17,8668.83,1,,14,3,1,3,15,0,7,1989,yes,3,part_time,15,3,3334.17,40010.0,yes
41,no,nan,1077.87,,1,nan,1,31,,female,,3,3,sales_executive,3,divorced,8705.83,22635.17,0,,13,4,1,3,22,13,5,1982,none,3,full_time,,4,8705.83,104470.0,yes
47,no,nan,1032.49,25.0,3,medical,1,32,1.0,male,,3,3,healthcare_representative,3,nan,8339.32,21682.23,2,,23,2,0,3,17,12,11,1976,none,4,none,25,3,8339.32,,yes
53,no,travel_rarely,1973.98,5.0,3,nan,1,33,3.0,female,246.75,3,5,manager,3,nan,15943.72,41453.67,4,,11,4,1,3,14,4,8,1970,none,3,full_time,26,2,15943.72,191324.62,yes
35,no,nan,556.26,1.0,4,marketing,1,34,3.0,male,69.53,2,2,sales_executive,1,single,4492.84,11681.39,0,,14,2,0,2,15,2,8,1988,no,,part_time,16,3,4492.84,53914.11,no
34,no,travel_rarely,556.26,6.0,4,other,1,35,1.0,female,,3,2,research_scientist,3,single,4492.84,11681.39,1,,14,3,0,3,16,2,10,1989,none,3,none,16,3,4492.84,,yes
46,no,travel_rarely,1032.49,1.0,2,nan,1,36,2.0,female,,3,3,sales_executive,1,divorced,8339.32,21682.23,1,,25,3,3,2,24,15,7,1977,no,4,part_time,24,3,8339.32,100071.84,yes
43,no,nan,1657.4,16.0,3,nan,1,37,4.0,female,207.17,3,4,manager,4,married,,34805.33,5,,22,3,1,3,17,1,9,1980,none,4,full_time,22,3,,160640.0,yes
36,no,nan,331.19,6.0,3,life_sciences,1,38,4.0,male,,3,1,laboratory_technician,4,married,2675.0,6955.0,0,,11,3,1,4,15,10,11,1987,none,3,full_time,16,3,2675.0,32100.0,yes
60,no,travel_frequently,1059.19,28.0,3,nan,1,39,3.0,female,,2,3,sales_executive,1,married,8555.0,22243.0,4,,19,4,0,5,18,13,11,1963,no,3,full_time,22,4,8555.0,102660.0,yes
40,no,travel_frequently,1080.75,5.0,4,nan,1,40,4.0,male,,2,3,sales_executive,1,married,8729.17,22695.83,5,,21,3,1,2,18,1,12,1983,yes,4,full_time,20,3,8729.17,104750.0,no
32,no,travel_rarely,635.76,4.0,3,nan,1,41,3.0,female,,2,2,manufacturing_director,3,married,,13351.0,1,,12,3,1,3,14,6,8,1991,no,3,full_time,14,3,,61620.0,no
41,no,travel_rarely,487.09,,3,nan,1,42,,male,60.89,3,1,laboratory_technician,1,single,3934.17,10228.83,2,,13,3,0,3,18,2,17,1982,yes,,full_time,20,3,3934.17,47210.0,yes
53,no,nan,1582.77,2.0,2,medical,1,43,3.0,male,,3,4,manager,3,divorced,12783.92,33238.2,6,,13,3,1,3,17,15,2,1970,no,3,full_time,22,4,12783.92,153407.07,no
36,yes,travel_rarely,290.04,16.0,4,nan,1,44,3.0,female,36.25,4,1,laboratory_technician,1,single,,6090.75,1,,16,3,0,1,17,15,14,1987,none,3,part_time,18,3,,28111.13,yes
46,no,nan,476.15,8.0,4,life_sciences,1,45,4.0,female,,2,2,research_scientist,1,divorced,3845.83,9999.17,8,,23,1,3,2,16,1,7,1977,yes,4,part_time,,3,3845.83,46150.0,no
38,no,travel_rarely,556.26,1.0,4,nan,1,46,4.0,male,,3,2,sales_executive,2,married,4492.84,11681.39,0,,15,1,2,3,15,5,8,1985,no,3,none,16,,4492.84,53914.11,yes
51,no,nan,1032.49,1.0,4,nan,1,47,1.0,female,,2,3,healthcare_representative,1,single,8339.32,21682.23,3,,20,3,0,1,13,12,8,1972,none,4,part_time,23,2,8339.32,100071.84,yes
43,no,nan,1749.74,26.0,2,nan,1,48,3.0,male,,3,4,manager,4,married,14132.5,36744.5,1,,12,4,2,3,25,4,12,1980,yes,3,full_time,25,4,14132.5,169590.0,yes
37,no,nan,290.04,1.0,3,life_sciences,1,49,4.0,female,,3,1,research_scientist,4,single,,6090.75,1,,12,2,0,3,17,5,7,1986,no,3,part_time,,3,,28111.13,yes
32,no,travel_rarely,556.26,8.0,2,technical_degree,1,50,3.0,female,,2,2,sales_executive,2,married,,11681.39,1,,11,4,0,2,13,11,9,1991,yes,3,part_time,,3,,53914.11,yes
38,no,nan,1032.49,1.0,3,nan,1,51,4.0,female,,3,3,research_director,1,married,8339.32,21682.23,1,,13,2,1,3,15,5,11,1985,none,3,part_time,15,3,8339.32,100071.84,no
46,no,nan,1582.77,3.0,3,life_sciences,1,52,3.0,female,,3,4,manager,2,nan,12783.92,33238.2,8,,12,4,1,2,13,5,1,1977,no,3,full_time,23,4,12783.92,153407.07,yes
35,yes,travel_rarely,1063.32,10.0,3,medical,1,53,4.0,male,,2,3,sales_executive,1,married,8588.33,22329.67,9,,17,3,0,3,13,6,0,1988,none,3,none,15,,8588.33,,no
43,no,nan,1973.98,6.0,3,medical,1,54,1.0,female,,2,5,manager,3,married,15943.72,41453.67,7,,13,4,0,2,16,6,14,1980,no,3,none,21,3,15943.72,,yes
56,no,non_travel,556.26,1.0,4,life_sciences,1,55,3.0,male,,3,2,healthcare_representative,3,divorced,4492.84,11681.39,1,,21,1,1,2,13,1,9,1967,no,,none,,2,4492.84,,yes
36,no,non_travel,557.76,15.0,4,marketing,1,56,4.0,male,,1,2,sales_executive,4,divorced,4505.0,11713.0,1,,24,1,1,4,15,11,11,1987,no,4,full_time,,2,4505.0,54060.0,yes
38,no,nan,556.26,6.0,3,medical,1,57,2.0,female,,1,2,research_scientist,4,nan,,11681.39,7,,12,4,3,3,13,1,9,1985,none,3,part_time,17,3,,53914.11,yes
49,no,nan,556.26,,4,medical,1,58,3.0,female,69.53,3,2,manufacturing_director,1,nan,,11681.39,1,,14,3,0,2,15,5,11,1974,no,3,part_time,16,2,,53914.11,no
39,no,travel_rarely,608.94,4.0,4,life_sciences,1,59,4.0,female,,2,2,sales_executive,3,married,4918.33,12787.67,4,,14,3,1,1,15,5,9,1984,none,3,full_time,17,4,4918.33,59020.0,yes
40,no,nan,1119.96,4.0,4,nan,1,60,3.0,male,140.0,2,3,sales_executive,4,married,,23519.17,7,,11,1,1,2,12,2,11,1983,no,,full_time,15,2,,108550.0,yes
36,no,nan,610.17,5.0,2,nan,1,61,4.0,male,,3,2,laboratory_technician,2,single,4928.33,12813.67,8,,16,4,0,3,13,3,7,1987,no,3,full_time,16,4,4928.33,59140.0,yes
37,no,nan,556.26,25.0,5,nan,1,62,2.0,female,,3,2,research_scientist,3,married,,11681.39,3,,15,1,2,2,13,10,7,1986,yes,3,none,15,3,,53914.11,no
35,no,nan,685.7,6.0,4,nan,1,63,2.0,male,,1,2,research_scientist,4,nan,5538.33,14399.67,1,,13,2,0,3,17,11,8,1988,none,3,full_time,,3,5538.33,66460.0,yes
33,no,travel_frequently,556.26,6.0,3,life_sciences,1,64,3.0,male,,3,2,healthcare_representative,4,divorced,4492.84,11681.39,3,,23,3,1,2,13,4,7,1990,no,4,part_time,15,1,4492.84,53914.11,no
50,no,travel_rarely,1441.66,24.0,3,nan,1,65,4.0,male,,3,4,manufacturing_director,3,married,,30274.83,3,,18,4,1,2,12,1,5,1973,yes,3,full_time,22,3,,139730.0,no
48,no,travel_rarely,1032.49,4.0,4,nan,1,66,3.0,male,,2,3,healthcare_representative,3,single,,21682.23,7,,14,2,0,3,15,4,8,1975,none,,part_time,27,3,,100071.84,yes
44,no,travel_rarely,1374.29,28.0,3,nan,1,67,4.0,female,,4,4,sales_executive,4,married,11100.0,28860.0,3,,18,3,1,2,12,11,11,1979,none,3,none,,3,11100.0,,yes
44,no,travel_rarely,556.26,29.0,4,nan,1,68,4.0,male,69.53,3,2,research_scientist,4,single,,11681.39,1,,25,2,0,3,20,13,17,1979,none,4,part_time,,3,,53914.11,yes
40,no,nan,556.26,,1,nan,1,69,,female,,4,2,healthcare_representative,3,nan,,11681.39,5,,20,2,3,0,12,11,8,1983,no,4,part_time,15,3,,53914.11,yes
34,no,travel_rarely,689.93,2.0,4,nan,1,70,3.0,female,86.24,3,2,healthcare_representative,4,single,5572.5,14488.5,1,,11,4,0,2,14,4,11,1989,none,3,full_time,14,4,5572.5,66870.0,yes
35,no,non_travel,556.26,8.0,4,nan,1,71,3.0,female,,3,2,healthcare_representative,3,nan,4492.84,11681.39,1,,12,4,1,5,14,2,9,1988,none,3,part_time,,3,4492.84,53914.11,yes
50,no,nan,1032.49,17.0,5,life_sciences,1,72,4.0,female,,2,3,research_director,1,nan,,21682.23,5,,15,3,3,3,14,1,11,1973,no,3,part_time,,3,,100071.84,no
49,no,nan,1582.77,6.0,1,life_sciences,1,73,3.0,female,197.85,2,4,healthcare_representative,3,nan,12783.92,33238.2,2,,19,2,1,3,15,2,12,1974,none,3,full_time,,3,12783.92,153407.07,yes
38,no,travel_frequently,488.53,1.0,3,life_sciences,1,74,4.0,male,61.07,3,2,research_scientist,4,nan,,10259.17,7,,15,4,2,4,13,2,9,1985,no,3,part_time,19,,,47350.0,yes
33,no,nan,290.04,21.0,3,nan,1,75,2.0,male,,4,1,laboratory_technician,2,nan,,6090.75,1,,18,4,3,6,14,2,13,1990,no,3,part_time,14,,,28111.13,yes
47,no,travel_rarely,1032.49,4.0,3,life_sciences,1,76,3.0,female,,2,3,manufacturing_director,2,divorced,8339.32,21682.23,8,,12,3,1,4,22,14,10,1976,yes,,part_time,,3,8339.32,100071.84,yes
38,no,nan,556.26,8.0,3,nan,1,77,4.0,female,,2,2,research_scientist,2,divorced,4492.84,11681.39,1,,16,3,1,3,20,0,7,1985,none,3,none,20,3,4492.84,,no
37,no,travel_rarely,1032.49,10.0,3,life_sciences,1,78,3.0,female,,4,3,research_director,4,nan,8339.32,21682.23,1,,25,1,1,2,16,6,8,1986,yes,4,part_time,16,3,8339.32,100071.84,yes
30,no,nan,556.26,2.0,3,nan,1,79,3.0,male,,2,2,healthcare_representative,4,married,,11681.39,1,,19,1,3,3,11,10,8,1993,no,,part_time,11,3,,53914.11,yes
58,no,travel_rarely,1431.24,,4,nan,1,80,4.0,male,,3,4,sales_executive,3,single,11560.0,30056.0,0,,13,3,0,1,37,1,8,1965,none,3,full_time,38,2,11560.0,138720.0,yes
34,no,travel_rarely,1032.49,5.0,3,nan,1,81,3.0,female,,2,3,manager,1,single,8339.32,21682.23,2,,12,4,0,6,11,5,8,1989,none,3,none,14,3,8339.32,,no
58,yes,travel_rarely,1032.49,23.0,4,medical,1,82,4.0,female,,3,3,healthcare_representative,4,married,8339.32,21682.23,1,,12,4,1,3,40,15,6,1965,none,3,part_time,40,2,8339.32,100071.84,yes
38,no,nan,1032.49,3.0,3,life_sciences,1,83,1.0,male,,3,3,sales_executive,3,divorced,8339.32,21682.23,0,,12,3,2,6,16,5,13,1985,none,3,none,,2,8339.32,,yes
29,no,travel_frequently,1032.49,1.0,1,nan,1,84,2.0,female,,3,3,sales_executive,4,married,8339.32,21682.23,1,,14,4,1,5,11,4,1,1994,none,3,part_time,11,3,8339.32,100071.84,yes
55,no,travel_rarely,1964.96,1.0,3,medical,1,85,4.0,male,245.62,3,5,manager,1,single,15870.83,41264.17,0,,14,3,0,2,36,4,13,1968,none,3,full_time,37,3,15870.83,190450.0,yes
41,no,nan,1652.34,,4,nan,1,86,4.0,male,,3,4,manager,2,nan,13345.83,34699.17,1,,19,2,0,2,22,0,4,1982,none,3,none,,3,13345.83,,yes
39,no,travel_rarely,991.82,1.0,3,nan,1,87,3.0,male,123.98,4,3,healthcare_representative,4,nan,8010.83,20828.17,0,,17,1,3,5,18,3,7,1984,no,,part_time,19,2,8010.83,96130.0,no
38,no,nan,1187.54,15.0,2,life_sciences,1,88,3.0,male,148.44,2,3,research_director,4,nan,,24938.33,0,,14,2,1,3,11,2,9,1985,none,3,full_time,,3,,115100.0,yes
43,no,nan,1582.77,12.0,3,nan,1,89,1.0,male,,2,4,research_director,2,nan,12783.92,33238.2,1,,11,3,1,3,25,3,9,1980,no,3,full_time,,,12783.92,153407.07,yes
31,no,nan,444.27,,2,nan,1,90,2.0,female,,3,2,manufacturing_director,1,married,3588.33,9329.67,1,,12,2,1,5,13,3,12,1992,no,3,none,13,1,3588.33,,yes
50,no,travel_rarely,1758.71,,4,life_sciences,1,91,,male,,2,4,manager,3,married,14205.0,36933.0,0,,15,2,1,2,27,15,7,1973,no,3,full_time,28,3,14205.0,170460.0,yes
35,no,nan,1032.49,25.0,3,technical_degree,1,92,4.0,male,129.06,2,3,manufacturing_director,2,married,8339.32,21682.23,3,,16,1,0,2,13,4,8,1988,no,,part_time,,3,8339.32,100071.84,no
47,no,nan,522.79,16.0,4,nan,1,93,3.0,male,,4,2,manufacturing_director,3,nan,4222.5,10978.5,1,,19,3,0,3,19,2,7,1976,yes,3,none,20,,4222.5,,yes
35,no,nan,1032.49,25.0,4,nan,1,94,3.0,female,129.06,3,3,healthcare_representative,3,divorced,8339.32,21682.23,1,,11,3,1,3,16,10,1,1988,yes,,part_time,,2,8339.32,100071.84,yes
40,no,travel_rarely,1032.49,20.0,4,nan,1,95,1.0,male,129.06,3,3,healthcare_representative,4,married,,21682.23,4,,20,4,1,6,11,11,1,1983,none,4,part_time,14,3,,100071.84,yes
45,no,nan,556.26,9.0,4,life_sciences,1,96,2.0,female,,2,2,sales_executive,3,married,4492.84,11681.39,1,,13,4,1,2,15,4,12,1978,none,3,part_time,15,3,4492.84,53914.11,no
33,no,nan,290.04,9.0,3,medical,1,97,1.0,male,,3,1,research_scientist,4,married,,6090.75,0,,13,2,1,5,14,4,10,1990,none,3,none,15,3,,28111.13,no
36,no,travel_frequently,380.92,3.0,3,nan,1,98,3.0,male,,3,1,research_scientist,2,married,3076.67,7999.33,1,,12,3,0,2,11,0,7,1987,no,3,full_time,12,2,3076.67,36920.0,no
45,yes,nan,1973.98,,3,marketing,1,99,1.0,female,246.75,1,5,manager,2,nan,15943.72,41453.67,2,,16,1,0,2,24,1,11,1978,yes,3,full_time,26,3,15943.72,191324.62,yes
51,no,travel_frequently,2047.71,,3,nan,1,100,,male,255.96,3,5,manager,2,nan,,43001.83,4,,24,1,1,5,29,11,10,1972,yes,,full_time,,2,,198470.0,no
34,no,travel_rarely,238.13,7.0,2,technical_degree,1,101,2.0,male,,3,1,sales_representative,3,nan,,5000.67,0,,25,2,1,4,11,5,7,1989,yes,4,part_time,12,3,,23080.0,no
43,no,travel_rarely,1582.77,15.0,2,nan,1,102,3.0,male,,2,4,research_director,3,nan,,33238.2,1,,24,1,1,3,14,6,11,1980,no,4,full_time,,3,,153407.07,yes
34,no,nan,556.26,5.0,2,medical,1,103,2.0,male,,2,2,laboratory_technician,4,nan,4492.84,11681.39,1,,14,3,1,3,15,4,13,1989,no,3,part_time,,,4492.84,53914.11,no
38,no,nan,290.04,2.0,3,nan,1,104,1.0,male,,3,1,human_resources,2,divorced,2342.59,6090.75,5,,13,4,3,3,11,3,8,1985,no,3,part_time,13,3,2342.59,28111.13,yes
48,no,nan,1973.98,10.0,3,nan,1,105,4.0,male,,2,5,research_director,2,nan,,41453.67,4,,12,4,0,3,22,12,9,1975,no,3,full_time,29,3,,191324.62,no
34,no,nan,592.94,22.0,4,other,1,106,3.0,male,,2,2,research_scientist,4,married,4789.17,12451.83,1,,15,2,0,3,15,6,11,1989,yes,3,full_time,16,3,4789.17,57470.0,no
32,no,travel_rarely,1075.29,,4,nan,1,107,,female,134.41,3,3,sales_executive,4,nan,8685.0,22581.0,1,,19,3,2,3,14,5,7,1991,no,3,full_time,14,3,8685.0,104220.0,yes
29,no,travel_rarely,1032.49,21.0,4,life_sciences,1,108,2.0,female,,4,3,manufacturing_director,1,divorced,8339.32,21682.23,1,,11,3,1,1,10,8,8,1994,no,3,none,10,3,8339.32,,no
46,no,nan,1032.49,1.0,3,medical,1,109,3.0,male,,2,3,healthcare_representative,1,married,,21682.23,2,,13,3,1,5,10,9,5,1977,yes,3,none,21,2,,100071.84,no
30,no,nan,654.85,9.0,3,nan,1,110,3.0,male,,3,2,human_resources,4,married,5289.17,13751.83,0,,19,4,0,2,11,4,7,1993,yes,3,full_time,,1,5289.17,63470.0,no
45,no,nan,242.25,9.0,3,life_sciences,1,111,2.0,male,,3,2,laboratory_technician,2,nan,1956.67,5087.33,8,,18,3,1,2,17,0,15,1978,no,3,part_time,20,,1956.67,23480.0,yes
30,no,travel_rarely,1032.49,5.0,3,nan,1,112,2.0,female,129.06,3,3,sales_executive,4,nan,8339.32,21682.23,2,,12,3,1,2,10,7,4,1993,no,3,part_time,,3,8339.32,100071.84,yes
30,no,nan,316.95,9.0,3,nan,1,113,3.0,male,,3,2,laboratory_technician,1,nan,,6656.0,1,,11,3,2,4,12,6,10,1993,no,,part_time,12,3,,30720.0,yes
34,no,travel_frequently,556.26,,1,nan,1,114,4.0,male,,2,2,manufacturing_director,3,married,4492.84,11681.39,1,,17,3,0,2,10,1,9,1989,none,3,none,10,2,4492.84,,no
51,no,travel_rarely,1288.65,8.0,4,life_sciences,1,115,2.0,male,,2,3,research_director,2,married,10408.33,27061.67,5,,16,4,2,5,10,4,7,1972,no,3,full_time,16,1,10408.33,124900.0,no
34,no,nan,556.26,,4,life_sciences,1,116,,male,69.53,2,2,manufacturing_director,1,nan,4492.84,11681.39,6,,13,2,1,3,11,5,9,1989,none,3,part_time,13,3,4492.84,53914.11,yes
35,no,travel_rarely,827.46,16.0,3,nan,1,117,3.0,male,,3,3,sales_executive,2,married,6683.33,17376.67,0,,15,3,2,3,11,6,9,1988,none,3,part_time,12,2,6683.33,80200.0,yes
45,no,travel_frequently,1032.49,7.0,3,life_sciences,1,118,1.0,male,,3,3,laboratory_technician,1,nan,8339.32,21682.23,1,,18,1,1,2,24,9,11,1978,none,3,part_time,24,3,8339.32,100071.84,yes
39,no,nan,1760.98,10.0,1,nan,1,119,3.0,male,,3,4,manager,1,married,,36980.67,1,,14,4,0,3,21,11,10,1984,none,,full_time,21,3,,170680.0,yes
31,no,nan,922.69,7.0,2,nan,1,120,3.0,female,,2,3,manufacturing_director,3,married,7452.5,19376.5,1,,24,1,1,2,10,8,9,1992,no,4,part_time,10,3,7452.5,89430.0,no
39,no,nan,1988.38,7.0,2,nan,1,121,3.0,male,,2,5,manager,4,married,16060.0,41756.0,1,,15,1,1,2,21,13,3,1984,none,3,full_time,,3,16060.0,192720.0,yes
45,no,travel_rarely,556.26,8.0,4,nan,1,122,4.0,male,69.53,3,2,research_scientist,4,nan,4492.84,11681.39,9,,14,1,2,3,10,9,8,1978,no,3,part_time,12,3,4492.84,53914.11,yes
30,no,travel_rarely,556.26,5.0,3,marketing,1,123,4.0,female,,2,2,sales_executive,3,nan,4492.84,11681.39,1,,13,3,3,2,10,1,2,1993,none,3,none,10,3,4492.84,,yes
31,no,nan,1032.49,7.0,4,medical,1,124,3.0,female,129.06,3,3,manufacturing_director,4,nan,8339.32,21682.23,1,,14,3,0,2,11,4,10,1992,none,3,part_time,11,2,8339.32,100071.84,no
36,no,nan,1032.49,3.0,4,medical,1,125,1.0,male,,2,3,sales_executive,4,married,8339.32,21682.23,4,,11,1,1,2,13,1,12,1987,no,3,part_time,16,3,8339.32,100071.84,yes
36,no,travel_rarely,1032.49,2.0,2,nan,1,126,2.0,male,,2,3,sales_executive,3,married,,21682.23,1,,13,2,2,2,10,9,0,1987,none,3,part_time,10,3,,100071.84,yes
55,no,travel_rarely,1582.77,18.0,5,nan,1,127,1.0,female,197.85,3,4,manager,2,single,12783.92,33238.2,3,,23,4,0,2,10,7,7,1968,no,4,full_time,37,3,12783.92,153407.07,yes
35,no,nan,556.26,1.0,3,nan,1,128,2.0,male,,3,2,sales_executive,3,nan,4492.84,11681.39,9,,11,3,0,2,11,6,9,1988,none,3,part_time,15,3,4492.84,53914.11,yes
42,no,travel_rarely,1032.49,24.0,3,medical,1,129,4.0,male,129.06,3,3,manufacturing_director,1,married,8339.32,21682.23,1,,21,4,1,5,10,5,8,1981,none,4,part_time,10,2,8339.32,100071.84,no
52,no,travel_rarely,575.4,6.0,2,nan,1,130,4.0,male,71.93,3,2,research_scientist,1,divorced,4647.5,12083.5,3,,12,2,2,3,10,6,9,1971,yes,,full_time,18,3,4647.5,55770.0,yes
49,no,nan,1973.98,18.0,4,life_sciences,1,131,4.0,male,246.75,2,5,research_director,3,nan,,41453.67,1,,17,3,1,5,31,0,9,1974,yes,3,full_time,,3,,191324.62,yes
34,no,travel_rarely,277.64,1.0,5,nan,1,132,2.0,male,,3,1,research_scientist,4,married,2242.5,5830.5,1,,12,4,1,4,10,8,8,1989,no,3,part_time,,2,2242.5,26910.0,yes
33,yes,travel_rarely,290.04,1.0,4,other,1,133,4.0,male,,3,1,research_scientist,4,single,2342.59,6090.75,1,,13,3,0,2,10,7,8,1990,none,3,part_time,10,2,2342.59,28111.13,no
33,no,nan,1032.49,7.0,3,medical,1,134,3.0,male,,3,3,research_director,3,married,8339.32,21682.23,0,,11,4,0,3,13,3,7,1990,no,3,none,,4,8339.32,,yes
53,no,travel_rarely,1582.77,23.0,4,nan,1,135,4.0,female,,3,4,research_director,4,nan,12783.92,33238.2,6,,18,3,0,0,12,3,8,1970,no,3,full_time,33,3,12783.92,153407.07,yes
